n,o,l
avila,38.441677,34.0
cadiz,43.577164,20.0
ciudad_real,0.33642724,0.0
soria,55.310772,13.0
huelva,17.004852,4.0
bizkaia,230.30315,251.0
jaen,63.05408,17.0
guadalajara,0.33641866,0.0
badajoz,47.246716,19.0
leon,94.92974,29.0
malaga,84.62507,74.0
segovia,64.39764,97.0
albacete,0.34908813,0.0
gipuzkoa,77.97436,118.0
alicante,207.88423,41.0
burgos,50.028015,21.0
tarragona,78.353645,54.0
cuenca,0.3363977,0.0
valladolid,76.1576,157.0
toledo,119.03385,62.0
caceres,86.726364,29.0
araba/alava,0.3364245,0.0
girona,62.05595,0.0
zamora,1391.1488,1032.0
cordoba,22.206823,2.0
barcelona,72.50021,14.0
lleida,65.115074,85.0
castellon,58.53637,7.0
valencia,171.31825,61.0
granada,85.40855,50.0
salamanca,95.41346,88.0
almeria,24.744507,7.0
palencia,38.059006,24.0
sevilla,93.478096,44.0
