n,o,l
E06000013,8.385567,0.0
E06000054,10.815477,18.0
E08000027,29.184273,20.0
E10000024,39.93747,20.0
E06000042,20.242962,21.0
E09000023,38.619392,28.0
E08000010,20.598085,22.0
E09000020,23.42062,6.0
E06000051,17.256683,7.0
E10000014,75.626465,74.0
E06000057,9.73378,23.0
E06000005,14.544564,2.0
E06000055,9.462867,5.0
E08000008,15.65362,14.0
E08000019,77.29186,66.0
E08000005,17.228634,11.0
E08000021,33.42548,25.0
E08000033,14.962816,3.0
E09000016,18.531288,20.0
E08000031,30.59029,26.0
E09000006,44.598793,12.0
E06000045,17.369383,9.0
E06000034,13.014627,26.0
E10000003,27.779142,11.0
E06000052,14.9253,12.0
E08000034,21.255005,7.0
E09000027,25.055595,20.0
E06000016,7.6576896,15.0
E06000006,13.669952,49.0
E08000024,24.150486,79.0
E10000006,65.73579,19.0
E08000013,26.143637,19.0
E09000018,30.972769,7.0
E06000021,18.839493,21.0
E06000002,20.10878,3.0
E09000009,9.089544,14.0
E06000009,46.83258,34.0
E10000021,45.9855,9.0
E10000027,13.030943,12.0
E10000002,28.92067,31.0
E10000018,22.533754,0.0
E09000001,5.2755237,4.0
E10000007,40.853626,8.0
E08000026,28.150793,10.0
E10000015,83.61759,62.0
E08000023,15.598028,15.0
E06000049,20.615265,27.0
E08000003,27.448662,36.0
E08000025,114.19726,70.0
E09000029,28.002018,10.0
E09000017,30.379528,16.0
E09000002,20.348993,16.0
E10000032,33.356544,27.0
E10000020,29.97649,20.0
E08000022,14.345398,35.0
E08000004,21.701588,13.0
E08000007,20.904324,26.0
E06000056,16.597399,16.0
E06000033,15.759303,8.0
E10000030,83.96523,66.0
E06000040,11.384512,4.0
E10000008,19.127556,20.0
E09000021,24.13557,27.0
E08000014,22.056313,9.0
E06000014,4.7590847,4.0
E10000016,76.243126,72.0
E06000008,12.323058,8.0
E10000023,28.75032,22.0
E10000017,74.51426,94.0
E09000015,44.283073,26.0
E08000011,20.396372,15.0
E06000041,19.5765,8.0
E08000035,31.72556,36.0
E06000035,17.236586,19.0
E10000011,20.314228,12.0
E06000012,7.145653,2.0
E06000047,22.597908,26.0
E06000007,19.041042,23.0
E10000029,24.861843,31.0
E06000030,9.9956455,10.0
E06000038,14.451944,8.0
E08000009,19.117258,19.0
E06000011,16.753704,10.0
E08000015,24.344353,43.0
E06000043,14.951033,11.0
E10000025,38.288322,49.0
E06000018,15.012164,11.0
E10000013,32.782623,31.0
E08000037,21.232586,20.0
E08000002,16.597849,17.0
E06000026,10.880599,1.0
E06000017,3.8571775,1.0
E06000027,5.1875734,3.0
E06000022,10.00318,5.0
E10000031,35.350395,24.0
E06000024,13.400468,4.0
E06000046,3.6834097,2.0
E09000026,29.69585,22.0
E06000050,25.4388,31.0
E06000059,12.969719,6.0
E06000031,9.777329,6.0
E10000019,26.880049,21.0
E06000044,3.084603,10.0
E09000008,56.506622,36.0
E08000030,32.541664,17.0
E10000012,84.30099,54.0
E09000022,49.936573,17.0
E06000003,14.255294,8.0
E06000004,15.178622,12.0
E08000018,27.551922,9.0
E08000036,17.198208,21.0
E09000003,61.25003,40.0
E08000016,23.604237,2.0
E09000004,26.110207,17.0
E08000001,15.263914,15.0
E08000012,44.983353,46.0
E06000032,21.805662,27.0
E09000005,66.54847,37.0
E10000034,38.91657,24.0
E06000001,8.60828,3.0
E08000032,26.614986,28.0
E06000015,28.002201,2.0
E06000037,12.831047,6.0
E09000010,29.00761,12.0
E06000039,14.652593,5.0
E08000017,21.34752,0.0
E10000028,52.365223,32.0
E06000020,12.23188,9.0
E06000036,8.099224,10.0
