n,o,l
avila,31.016474,21.0
cadiz,11.830383,28.0
ciudad_real,89.51322,55.0
soria,33.54298,28.0
huelva,4.2944884,12.0
bizkaia,138.24457,0.0
jaen,15.789859,14.0
guadalajara,27.031229,41.0
badajoz,7.73436,4.0
leon,52.610737,59.0
malaga,76.53264,76.0
segovia,43.677395,46.0
albacete,33.971344,70.0
gipuzkoa,34.180107,0.0
alicante,25.547602,80.0
burgos,22.176975,153.0
tarragona,23.213676,13.0
cuenca,25.481445,45.0
valladolid,55.658386,70.0
toledo,50.458088,0.0
caceres,24.930193,22.0
araba/alava,46.85478,65.0
girona,129.98692,40.0
zamora,519.6076,27.0
cordoba,15.812584,16.0
barcelona,7.7715445,349.0
lleida,23.337336,27.0
castellon,15.763096,67.0
valencia,60.429256,95.0
granada,36.497005,57.0
salamanca,46.448036,49.0
almeria,8.782385,24.0
palencia,23.297554,19.0
sevilla,24.471998,20.0
