n,o,l
E06000013,6.2701645,8.0
E06000054,17.130726,11.0
E08000027,25.534388,12.0
E10000024,33.352386,28.0
E06000042,17.943167,6.0
E09000023,36.39774,12.0
E08000010,22.735298,23.0
E09000020,12.617522,3.0
E06000051,10.556014,16.0
E10000014,86.284615,71.0
E06000057,3.9051414,15.0
E06000005,29.482252,37.0
E06000055,7.5816326,10.0
E08000008,14.423975,18.0
E08000019,52.405006,35.0
E08000005,14.359088,16.0
E08000021,26.721123,17.0
E08000033,7.754126,8.0
E09000016,24.885197,19.0
E08000031,16.199446,11.0
E09000006,35.4358,10.0
E06000045,13.215178,5.0
E06000034,8.6818285,13.0
E10000003,25.270142,20.0
E06000052,13.977099,6.0
E08000034,18.404657,7.0
E09000027,9.358946,22.0
E06000016,12.393092,4.0
E06000006,16.752804,29.0
E08000024,49.003517,34.0
E10000006,70.87513,15.0
E08000013,27.869806,10.0
E09000018,24.303793,10.0
E06000021,6.4398956,14.0
E06000002,24.82847,11.0
E09000009,5.8218946,21.0
E06000009,26.89332,18.0
E10000021,49.965797,11.0
E10000027,7.761962,7.0
E10000002,23.082184,12.0
E10000018,20.531824,0.0
E09000001,5.409631,7.0
E10000007,32.129536,21.0
E08000026,20.577747,21.0
E10000015,78.81439,50.0
E08000023,16.135221,9.0
E06000049,25.864061,19.0
E08000003,37.386124,37.0
E08000025,96.91009,50.0
E09000029,15.988631,5.0
E09000017,19.203264,11.0
E09000002,10.965302,15.0
E10000032,37.171307,29.0
E10000020,35.942837,7.0
E08000022,25.370567,40.0
E08000004,18.250706,22.0
E08000007,31.181452,14.0
E06000056,15.075655,18.0
E06000033,13.623876,8.0
E10000030,83.575005,54.0
E06000040,5.965657,6.0
E10000008,27.933165,31.0
E09000021,33.81682,21.0
E08000014,14.831049,9.0
E06000014,5.880822,5.0
E10000016,85.370674,117.0
E06000008,8.784734,11.0
E10000023,31.688635,27.0
E10000017,106.47702,63.0
E09000015,28.304205,13.0
E08000011,20.956165,8.0
E06000041,6.6198807,11.0
E08000035,35.026077,38.0
E06000035,23.898792,13.0
E10000011,15.991794,12.0
E06000012,5.3586636,2.0
E06000047,35.870224,29.0
E06000007,21.703333,7.0
E10000029,30.111135,27.0
E06000030,11.485537,10.0
E06000038,11.658008,25.0
E08000009,24.124628,12.0
E06000011,11.930227,16.0
E08000015,49.13359,27.0
E06000043,15.115399,11.0
E10000025,54.670715,38.0
E06000018,14.230853,11.0
E10000013,38.63793,38.0
E08000037,29.059317,20.0
E08000002,18.93143,16.0
E06000026,6.5508556,7.0
E06000017,4.0525246,1.0
E06000027,6.4867463,2.0
E06000022,5.1230516,2.0
E10000031,37.868065,22.0
E06000024,6.617544,1.0
E06000046,4.331315,2.0
E09000026,25.249723,24.0
E06000050,34.927982,25.0
E06000059,10.618724,5.0
E06000031,6.5311275,2.0
E10000019,29.735806,24.0
E06000044,11.305167,7.0
E09000008,51.670105,26.0
E08000030,27.964582,13.0
E10000012,85.649895,46.0
E09000022,37.426662,16.0
E06000003,11.709513,8.0
E06000004,15.14489,10.0
E08000018,14.364389,26.0
E08000036,22.472294,18.0
E09000003,44.204853,17.0
E08000016,7.8822107,21.0
E09000004,22.71869,6.0
E08000001,24.977552,25.0
E08000012,53.614635,35.0
E06000032,23.410463,23.0
E09000005,53.144302,26.0
E10000034,33.21053,22.0
E06000001,6.3025675,6.0
E08000032,27.818287,22.0
E06000015,17.492666,9.0
E06000037,4.9539337,7.0
E09000010,22.89433,22.0
E06000039,5.07161,9.0
E08000017,5.479136,8.0
E10000028,45.2918,35.0
E06000020,7.56374,3.0
E06000036,6.464509,9.0
