n,o,l
hautes_pyrenees,2.2571995,4.0
paris,195.93478,121.0
loire,0.23229799,1.0
landes,0.3109976,3.0
charente_maritime,2.083053,3.0
ardeche,1.1951532,1.0
doubs,7.1650357,10.0
aube,11.093254,12.0
essonne,78.01144,41.0
meurthe_et_moselle,9.321851,11.0
drome,6.2905045,9.0
dordogne,0.3469264,2.0
moselle,24.990873,27.0
tarn,1.0066241,0.0
lot,0.5525891,1.0
hauts_de_seine,135.9113,115.0
pas_de_calais,2.8707583,15.0
marne,14.433467,19.0
puy_de_dome,4.3398795,11.0
mayenne,0.18977705,0.0
val_de_marne,64.82539,69.0
pyrenees_atlantiques,22.813633,9.0
bas_rhin,4.096289,20.0
herault,67.02189,66.0
bouches_du_rhone,175.05399,106.0
alpes_maritimes,7.1074233,15.0
charente,0.0405984,0.0
eure,11.693942,13.0
correze,0.0,0.0
haute_savoie,25.411917,22.0
seine_et_marne,44.79081,73.0
rhone,5.7939043,7.0
ain,3.3540165,4.0
haute_garonne,9.981402,8.0
jura,0.1871978,3.0
saone_et_loire,4.2085276,9.0
indre,9.913493,13.0
pyrenees_orientales,0.21082497,2.0
ardennes,1.1212282,2.0
haut_rhin,34.608967,84.0
haute_saone,12.348811,3.0
meuse,0.2012006,2.0
isere,7.6861353,3.0
territoire_de_belfort,3.0682945,8.0
cher,11.825951,11.0
loir_et_cher,1.4241078,0.0
seine_maritime,11.144352,17.0
val_d'oise,95.01621,43.0
aisne,5.2307053,22.0
oise,35.65062,51.0
cote_d'or,2.1251817,8.0
vosges,15.088448,28.0
nord,9.035602,11.0
gironde,20.397675,19.0
yonne,1.177656,0.0
lot_et_garonne,0.0,1.0
yvelines,49.74897,48.0
gers,2.2103941,4.0
savoie,0.5073849,0.0
loire_atlantique,0.68661666,5.0
alpes_de_haute_provence,1.0764397,5.0
haute_marne,1.2634261,1.0
eure_et_loir,18.272758,27.0
seine_saint_denis,108.77836,98.0
maine_et_loire,0.07386888,0.0
manche,2.94675,2.0
calvados,6.9881754,6.0
somme,10.544932,13.0
nievre,0.6684711,4.0
vienne,0.11994703,1.0
cantal,0.06710314,0.0
tarn_et_garonne,1.1447064,2.0
haute_loire,0.07701373,6.0
indre_et_loire,5.6288676,4.0
vaucluse,10.257667,16.0
var,17.900038,14.0
orne,1.112431,0.0
haute_vienne,1.4529098,0.0
aude,7.0495334,9.0
loiret,14.393661,23.0
gard,4.4170456,18.0
