n,o,l
hautes_pyrenees,6.817754,6.0
paris,204.86267,114.0
loire,0.06512356,2.0
landes,1.5630773,0.0
charente_maritime,6.1269712,4.0
ardeche,0.0,7.0
doubs,10.18104,10.0
aube,21.09178,12.0
essonne,80.42543,78.0
meurthe_et_moselle,11.601943,3.0
drome,4.026067,6.0
dordogne,0.30322465,1.0
moselle,45.20042,6.0
tarn,0.0,0.0
lot,0.3657045,0.0
hauts_de_seine,170.31166,95.0
pas_de_calais,17.397173,35.0
marne,23.224066,12.0
puy_de_dome,11.434964,8.0
mayenne,0.0,0.0
val_de_marne,105.681656,61.0
pyrenees_atlantiques,29.238268,21.0
bas_rhin,9.3376,7.0
herault,67.294205,34.0
bouches_du_rhone,164.77943,106.0
alpes_maritimes,18.66896,14.0
charente,0.0,0.0
eure,15.724592,63.0
correze,0.25039372,0.0
haute_savoie,36.248447,27.0
seine_et_marne,80.39284,79.0
rhone,12.82716,20.0
ain,6.2091227,23.0
haute_garonne,13.395966,7.0
jura,3.316291,3.0
saone_et_loire,11.79634,10.0
indre,18.829878,8.0
pyrenees_orientales,0.19205661,4.0
ardennes,1.7955376,4.0
haut_rhin,87.70703,31.0
haute_saone,6.764467,7.0
meuse,2.7423868,1.0
isere,2.1677606,4.0
territoire_de_belfort,6.078841,7.0
cher,15.783192,14.0
loir_et_cher,0.37118044,2.0
seine_maritime,22.062212,13.0
val_d'oise,94.304016,48.0
aisne,31.783009,39.0
oise,83.91463,38.0
cote_d'or,5.3356657,2.0
vosges,33.81089,25.0
nord,13.179637,22.0
gironde,29.626783,10.0
yonne,0.0,5.0
lot_et_garonne,0.067477085,1.0
yvelines,63.901466,33.0
gers,4.987238,3.0
savoie,0.0,1.0
loire_atlantique,2.358009,0.0
alpes_de_haute_provence,2.7561858,0.0
haute_marne,0.3688064,1.0
eure_et_loir,32.048233,43.0
seine_saint_denis,139.83661,81.0
maine_et_loire,0.0,0.0
manche,0.30916855,5.0
calvados,8.128579,5.0
somme,20.273048,20.0
nievre,6.1022797,2.0
vienne,0.0,1.0
cantal,0.0,0.0
tarn_et_garonne,1.0806899,0.0
haute_loire,0.9420458,1.0
indre_et_loire,1.9073877,6.0
vaucluse,25.889048,17.0
var,14.383152,4.0
orne,0.7005817,0.0
haute_vienne,0.0764745,4.0
aude,12.250973,13.0
loiret,28.412535,20.0
gard,17.643534,7.0
