n,o,l
hautes_pyrenees,4.6951013,0.0
paris,5.342456,4.0
loire,0.0,0.0
landes,0.0,0.0
charente_maritime,0.0,0.0
ardeche,1.1128231,0.0
doubs,0.0,0.0
aube,4.9715796,0.0
essonne,0.0,1.0
meurthe_et_moselle,0.5378963,0.0
drome,0.0,0.0
dordogne,0.0,0.0
moselle,40.384468,0.0
tarn,0.003011249,0.0
lot,0.0,0.0
hauts_de_seine,8.964484,1.0
pas_de_calais,0.39434025,1.0
marne,1.5177802,0.0
puy_de_dome,4.2163615,0.0
mayenne,0.07916734,0.0
val_de_marne,7.7597637,0.0
pyrenees_atlantiques,7.7772336,0.0
bas_rhin,0.07816428,0.0
herault,2.7093363,3.0
bouches_du_rhone,0.0,0.0
alpes_maritimes,0.0,0.0
charente,0.0,0.0
eure,0.0,2.0
correze,0.0,1.0
haute_savoie,0.0,0.0
seine_et_marne,0.0,4.0
rhone,0.0,0.0
ain,2.063621,0.0
haute_garonne,0.0,0.0
jura,0.0,0.0
saone_et_loire,2.6244805,2.0
indre,18.364967,0.0
pyrenees_orientales,0.0,0.0
ardennes,5.0422034,0.0
haut_rhin,26.89003,0.0
haute_saone,0.0,0.0
meuse,0.0,0.0
isere,0.0,0.0
territoire_de_belfort,0.27670163,0.0
cher,6.4387827,1.0
loir_et_cher,0.0,0.0
seine_maritime,0.0,0.0
val_d'oise,3.1463027,6.0
aisne,1.1713008,0.0
oise,5.158969,1.0
cote_d'or,0.0,0.0
vosges,2.1888165,0.0
nord,7.651445,0.0
gironde,0.0,0.0
yonne,0.0,0.0
lot_et_garonne,0.0890359,0.0
yvelines,0.0,0.0
gers,1.0897108,0.0
savoie,0.14238822,0.0
loire_atlantique,0.0,0.0
alpes_de_haute_provence,0.0,0.0
haute_marne,0.0,0.0
eure_et_loir,0.0,0.0
seine_saint_denis,5.401875,5.0
maine_et_loire,0.0,0.0
manche,0.0,0.0
calvados,1.6213993,0.0
somme,4.988826,0.0
nievre,8.364758,0.0
vienne,0.0,0.0
cantal,0.0,0.0
tarn_et_garonne,9.380994,0.0
haute_loire,0.0,0.0
indre_et_loire,0.2084546,0.0
vaucluse,0.8757703,0.0
var,8.958663,0.0
orne,0.0,0.0
haute_vienne,0.26447073,0.0
aude,0.00016216934,0.0
loiret,1.0698142,0.0
gard,0.9075211,0.0
