n,o,l
hautes_pyrenees,3.020193,0.0
paris,86.2221,35.0
loire,0.0,0.0
landes,0.0798928,0.0
charente_maritime,2.5288608,1.0
ardeche,0.03276094,0.0
doubs,4.14925,0.0
aube,5.955886,0.0
essonne,35.770584,17.0
meurthe_et_moselle,2.5478508,0.0
drome,1.2903059,0.0
dordogne,0.026210167,0.0
moselle,13.1593075,1.0
tarn,0.028174125,0.0
lot,0.0,0.0
hauts_de_seine,67.7351,4.0
pas_de_calais,7.975896,0.0
marne,8.291904,2.0
puy_de_dome,4.62508,2.0
mayenne,0.0,0.0
val_de_marne,48.389267,6.0
pyrenees_atlantiques,10.825402,0.0
bas_rhin,1.3399346,0.0
herault,25.753891,5.0
bouches_du_rhone,65.33011,9.0
alpes_maritimes,4.432151,1.0
charente,0.06103489,0.0
eure,7.9631476,0.0
correze,0.0,0.0
haute_savoie,10.030218,0.0
seine_et_marne,33.3001,5.0
rhone,9.339813,2.0
ain,1.5160683,68.0
haute_garonne,3.1759086,2.0
jura,2.2248828,0.0
saone_et_loire,6.666876,6.0
indre,7.689296,0.0
pyrenees_orientales,0.044458024,0.0
ardennes,0.2637549,0.0
haut_rhin,28.190367,0.0
haute_saone,2.597112,0.0
meuse,0.1717673,0.0
isere,0.58784735,0.0
territoire_de_belfort,1.5597105,0.0
cher,3.9456787,0.0
loir_et_cher,0.0,0.0
seine_maritime,9.780579,1.0
val_d'oise,28.500109,25.0
aisne,13.358452,0.0
oise,32.099205,0.0
cote_d'or,1.886968,0.0
vosges,12.869388,0.0
nord,6.830133,0.0
gironde,9.127974,0.0
yonne,0.057747103,0.0
lot_et_garonne,0.0,0.0
yvelines,20.085072,3.0
gers,0.51417387,0.0
savoie,0.25044706,0.0
loire_atlantique,0.12356005,0.0
alpes_de_haute_provence,0.22842908,0.0
haute_marne,0.0,0.0
eure_et_loir,15.62908,1.0
seine_saint_denis,59.294247,7.0
maine_et_loire,0.0,0.0
manche,0.6726953,0.0
calvados,1.6641037,0.0
somme,10.661483,0.0
nievre,0.887713,0.0
vienne,0.0,0.0
cantal,0.0,2.0
tarn_et_garonne,0.03427533,0.0
haute_loire,0.0,0.0
indre_et_loire,0.56270915,0.0
vaucluse,10.284755,0.0
var,2.925848,0.0
orne,0.15586263,0.0
haute_vienne,0.021184385,0.0
aude,1.5905901,0.0
loiret,9.292182,0.0
gard,4.9800835,1.0
