n,o,l
E06000013,3.9694717,10.0
E06000054,14.651645,10.0
E08000027,24.406858,16.0
E10000024,38.748894,33.0
E06000042,19.592299,11.0
E09000023,43.460255,23.0
E08000010,27.998962,27.0
E09000020,17.974493,20.0
E06000051,13.045222,18.0
E10000014,105.136116,86.0
E06000057,12.907876,20.0
E06000005,32.660507,35.0
E06000055,16.883509,20.0
E08000008,20.260813,27.0
E08000019,60.768227,50.0
E08000005,22.70333,36.0
E08000021,40.84772,30.0
E08000033,10.615132,10.0
E09000016,32.208878,31.0
E08000031,20.259691,32.0
E09000006,41.10124,43.0
E06000045,15.830391,13.0
E06000034,13.959105,18.0
E10000003,24.637678,27.0
E06000052,19.643152,16.0
E08000034,27.491415,21.0
E09000027,14.5149765,9.0
E06000016,27.809767,20.0
E06000006,18.121605,14.0
E08000024,54.200657,51.0
E10000006,81.8999,87.0
E08000013,32.061687,15.0
E09000018,27.206964,23.0
E06000021,11.671627,18.0
E06000002,24.706104,5.0
E09000009,11.989339,13.0
E06000009,38.631725,36.0
E10000021,46.700813,33.0
E10000027,15.527581,15.0
E10000002,32.346813,32.0
E10000018,30.766348,18.0
E09000001,1.9585464,2.0
E10000007,36.344845,43.0
E08000026,25.630953,10.0
E10000015,91.457184,85.0
E08000023,20.332745,19.0
E06000049,31.848934,33.0
E08000003,56.917004,53.0
E08000025,92.08728,88.0
E09000029,27.32893,29.0
E09000017,28.790716,18.0
E09000002,20.495478,18.0
E10000032,49.042706,39.0
E10000020,45.683598,57.0
E08000022,28.520079,18.0
E08000004,34.1884,31.0
E08000007,36.84847,30.0
E06000056,21.381498,16.0
E06000033,19.792633,5.0
E10000030,99.67022,80.0
E06000040,9.020139,3.0
E10000008,25.634645,12.0
E09000021,40.00268,33.0
E08000014,17.890013,21.0
E06000014,13.110336,10.0
E10000016,120.50997,102.0
E06000008,13.753253,12.0
E10000023,33.264816,29.0
E10000017,111.72962,99.0
E09000015,30.476175,25.0
E08000011,24.937365,19.0
E06000041,11.338583,12.0
E08000035,50.27769,43.0
E06000035,33.709427,21.0
E10000011,24.730116,18.0
E06000012,2.313105,4.0
E06000047,60.346638,54.0
E06000007,29.866037,38.0
E10000029,30.707964,38.0
E06000030,14.756041,15.0
E06000038,12.768473,13.0
E08000009,26.034483,31.0
E06000011,18.73353,21.0
E08000015,49.341904,49.0
E06000043,16.428303,19.0
E10000025,65.7285,58.0
E06000018,22.600222,16.0
E10000013,45.98643,58.0
E08000037,40.073925,44.0
E08000002,24.118315,24.0
E06000026,10.297625,4.0
E06000017,0.0,1.0
E06000027,5.118186,3.0
E06000022,7.92583,8.0
E10000031,42.496273,32.0
E06000024,7.441617,5.0
E06000046,0.6161076,5.0
E09000026,36.101597,29.0
E06000050,34.334484,28.0
E06000059,13.246283,17.0
E06000031,9.535171,5.0
E10000019,32.89799,15.0
E06000044,10.562191,11.0
E09000008,56.77352,56.0
E08000030,38.185184,19.0
E10000012,102.89156,91.0
E09000022,44.86312,32.0
E06000003,13.729489,0.0
E06000004,16.867306,9.0
E08000018,18.786772,21.0
E08000036,24.736006,25.0
E09000003,49.421124,49.0
E08000016,16.689154,16.0
E09000004,32.580654,16.0
E08000001,29.379194,45.0
E08000012,62.577583,74.0
E06000032,28.415636,35.0
E09000005,48.573185,43.0
E10000034,39.915615,41.0
E06000001,10.059792,6.0
E08000032,32.34795,36.0
E06000015,17.33201,11.0
E06000037,11.76246,5.0
E09000010,32.397533,31.0
E06000039,14.935186,9.0
E08000017,9.321877,15.0
E10000028,55.577225,49.0
E06000020,9.60255,6.0
E06000036,8.945723,10.0
