n,o,l
avila,23.457163,48.0
cadiz,19.487688,0.0
ciudad_real,120.23903,169.0
soria,35.942238,103.0
huelva,7.9048944,1.0
bizkaia,144.6463,173.0
jaen,20.566336,8.0
guadalajara,34.64711,19.0
badajoz,20.756575,5.0
leon,89.53935,17.0
malaga,44.913986,105.0
segovia,54.941746,64.0
albacete,35.206974,17.0
gipuzkoa,35.82801,31.0
alicante,46.83394,17.0
burgos,48.014023,34.0
tarragona,15.78787,33.0
cuenca,66.56574,25.0
valladolid,89.963776,44.0
toledo,28.900118,19.0
caceres,139.12366,42.0
araba/alava,56.239674,30.0
girona,0.18063927,163.0
zamora,838.61334,10.0
cordoba,11.524749,6.0
barcelona,24.720074,745.0
lleida,37.234684,68.0
castellon,33.42755,2.0
valencia,101.53485,41.0
granada,27.270702,58.0
salamanca,47.455273,49.0
almeria,7.747441,7.0
palencia,7.1142144,37.0
sevilla,34.249847,43.0
