n,o,l
hautes_pyrenees,2.182768,1.0
paris,137.18771,28.0
loire,0.0,0.0
landes,0.0,0.0
charente_maritime,1.5455912,0.0
ardeche,0.40496823,0.0
doubs,3.5491583,0.0
aube,9.550387,6.0
essonne,63.287327,14.0
meurthe_et_moselle,5.4041786,1.0
drome,1.8663666,1.0
dordogne,0.0,0.0
moselle,25.343678,0.0
tarn,0.0,0.0
lot,0.0,0.0
hauts_de_seine,103.53595,13.0
pas_de_calais,10.137533,7.0
marne,13.433804,0.0
puy_de_dome,5.9593506,7.0
mayenne,0.0,0.0
val_de_marne,66.8033,9.0
pyrenees_atlantiques,19.484005,0.0
bas_rhin,4.2796545,1.0
herault,42.492966,3.0
bouches_du_rhone,105.39123,23.0
alpes_maritimes,13.089608,0.0
charente,0.0,0.0
eure,10.945701,2.0
correze,0.0,0.0
haute_savoie,18.827208,2.0
seine_et_marne,54.555107,22.0
rhone,5.9240904,1.0
ain,3.0021622,7.0
haute_garonne,7.736284,1.0
jura,0.22301596,0.0
saone_et_loire,5.003827,0.0
indre,9.223404,10.0
pyrenees_orientales,0.0,0.0
ardennes,0.48307633,2.0
haut_rhin,55.14865,5.0
haute_saone,3.9943006,0.0
meuse,0.56046873,0.0
isere,0.7157412,0.0
territoire_de_belfort,1.9556639,0.0
cher,8.521578,1.0
loir_et_cher,0.0,0.0
seine_maritime,12.375188,1.0
val_d'oise,55.367935,13.0
aisne,17.192291,1.0
oise,50.824776,9.0
cote_d'or,2.993425,0.0
vosges,18.843658,1.0
nord,11.200754,3.0
gironde,14.85026,0.0
yonne,0.0,2.0
lot_et_garonne,0.0,0.0
yvelines,36.726395,2.0
gers,0.87092143,0.0
savoie,0.0,0.0
loire_atlantique,0.5173049,0.0
alpes_de_haute_provence,0.22933233,0.0
haute_marne,0.0,0.0
eure_et_loir,18.580147,0.0
seine_saint_denis,97.41255,24.0
maine_et_loire,0.0,0.0
manche,1.1806176,0.0
calvados,3.317945,1.0
somme,12.930045,5.0
nievre,2.209697,3.0
vienne,0.0,0.0
cantal,0.0,0.0
tarn_et_garonne,0.0,0.0
haute_loire,0.0,1.0
indre_et_loire,1.4502256,1.0
vaucluse,13.535326,1.0
var,6.404465,0.0
orne,0.0,0.0
haute_vienne,0.0,2.0
aude,4.7430086,4.0
loiret,15.608623,0.0
gard,9.975237,1.0
