n,o,l
E06000013,5.8148136,6.0
E06000054,4.4205866,2.0
E08000027,13.02284,11.0
E10000024,15.312547,7.0
E06000042,2.5288632,4.0
E09000023,2.1522331,4.0
E08000010,11.614691,10.0
E09000020,0.9527668,1.0
E06000051,6.810253,18.0
E10000014,29.539692,22.0
E06000057,5.3446026,14.0
E06000005,6.2213993,10.0
E06000055,4.4903827,7.0
E08000008,2.1743042,9.0
E08000019,26.267015,15.0
E08000005,2.8144557,13.0
E08000021,9.412333,12.0
E08000033,1.2512413,3.0
E09000016,1.5161068,9.0
E08000031,8.012791,18.0
E09000006,3.570283,13.0
E06000045,1.2806439,11.0
E06000034,14.111948,1.0
E10000003,2.612692,22.0
E06000052,7.5652633,4.0
E08000034,1.1465541,10.0
E09000027,6.389456,1.0
E06000016,1.1420295,20.0
E06000006,11.05691,3.0
E08000024,28.156738,28.0
E10000006,4.1956663,12.0
E08000013,2.2019322,1.0
E09000018,10.198592,14.0
E06000021,6.1184745,14.0
E06000002,5.705333,11.0
E09000009,6.1105695,7.0
E06000009,6.5685086,5.0
E10000021,6.306609,14.0
E10000027,5.0410347,13.0
E10000002,9.7184515,10.0
E10000018,0.94229615,13.0
E09000001,1.1068634,0.0
E10000007,18.487427,22.0
E08000026,4.058723,4.0
E10000015,33.36656,40.0
E08000023,9.469755,9.0
E06000049,12.551353,18.0
E08000003,10.0192995,17.0
E08000025,20.827457,27.0
E09000029,1.2699032,2.0
E09000017,1.3899865,4.0
E09000002,0.9725013,3.0
E10000032,11.434959,13.0
E10000020,2.2214673,40.0
E08000022,34.325153,1.0
E08000004,8.31268,25.0
E08000007,9.646696,13.0
E06000056,3.830415,14.0
E06000033,0.95714045,12.0
E10000030,17.91057,20.0
E06000040,1.1935408,2.0
E10000008,8.428671,4.0
E09000021,5.3962984,4.0
E08000014,1.9470997,3.0
E06000014,5.7382116,14.0
E10000016,60.62008,55.0
E06000008,1.6551175,6.0
E10000023,21.460838,30.0
E10000017,34.505493,40.0
E09000015,5.321579,16.0
E08000011,4.839453,7.0
E06000041,1.5531857,0.0
E08000035,23.622927,20.0
E06000035,2.800843,13.0
E10000011,4.8589525,8.0
E06000012,1.1031783,0.0
E06000047,33.837822,41.0
E06000007,5.5259657,10.0
E10000029,17.958487,41.0
E06000030,1.655485,1.0
E06000038,3.3153725,6.0
E08000009,4.115142,13.0
E06000011,15.664581,15.0
E08000015,7.986287,9.0
E06000043,1.0983645,4.0
E10000025,12.984573,29.0
E06000018,4.6701818,9.0
E10000013,12.166092,19.0
E08000037,12.512049,32.0
E08000002,4.274387,10.0
E06000026,0.82671726,2.0
E06000017,0.75242424,1.0
E06000027,0.955021,0.0
E06000022,0.9691373,0.0
E10000031,15.193243,10.0
E06000024,2.3610988,11.0
E06000046,1.2040026,3.0
E09000026,2.1279936,7.0
E06000050,11.8865,12.0
E06000059,1.1565028,4.0
E06000031,3.537128,8.0
E10000019,6.427812,13.0
E06000044,0.9574697,1.0
E09000008,8.051306,11.0
E08000030,10.935759,3.0
E10000012,39.132908,44.0
E09000022,1.6283427,3.0
E06000003,1.7808285,7.0
E06000004,4.3927994,11.0
E08000018,10.857801,5.0
E08000036,6.255303,5.0
E09000003,3.1688783,7.0
E08000016,9.236822,12.0
E09000004,2.4001248,6.0
E08000001,7.4023323,12.0
E08000012,12.129824,10.0
E06000032,3.2622676,16.0
E09000005,3.2585378,2.0
E10000034,10.242807,8.0
E06000001,1.8374317,7.0
E08000032,21.85059,27.0
E06000015,2.8477845,3.0
E06000037,1.3286011,4.0
E09000010,1.083751,3.0
E06000039,2.5268087,4.0
E08000017,11.841938,1.0
E10000028,25.320175,21.0
E06000020,2.0156507,5.0
E06000036,11.204716,1.0
