n,o,l
avila,20.341665,16.0
cadiz,9.678982,0.0
ciudad_real,42.170326,75.0
soria,15.606679,69.0
huelva,4.489984,0.0
bizkaia,25.749136,0.0
jaen,8.041184,0.0
guadalajara,16.32498,40.0
badajoz,2.11931,8.0
leon,25.173698,58.0
malaga,27.656235,0.0
segovia,21.576221,37.0
albacete,32.444687,47.0
gipuzkoa,5.631973,0.0
alicante,37.82277,100.0
burgos,62.58211,76.0
tarragona,4.832689,0.0
cuenca,26.797707,188.0
valladolid,30.087662,26.0
toledo,14.389598,51.0
caceres,6.5501766,15.0
araba/alava,30.246202,0.0
girona,29.32066,0.0
zamora,169.09961,24.0
cordoba,8.732751,0.0
barcelona,9.208206,0.0
lleida,9.95966,0.0
castellon,20.884605,47.0
valencia,42.940617,94.0
granada,26.91917,0.0
salamanca,32.005577,69.0
almeria,8.35092,0.0
palencia,13.7368,6.0
sevilla,10.189324,0.0
