n,o,l
E06000013,8.096049,18.0
E06000054,10.115588,8.0
E08000027,22.01463,7.0
E10000024,33.135056,16.0
E06000042,17.6697,10.0
E09000023,21.335136,4.0
E08000010,29.531723,22.0
E09000020,16.965654,17.0
E06000051,11.914416,9.0
E10000014,90.39923,64.0
E06000057,5.60928,13.0
E06000005,31.613964,6.0
E06000055,21.800632,9.0
E08000008,10.857181,9.0
E08000019,57.66547,43.0
E08000005,25.62457,16.0
E08000021,36.01655,18.0
E08000033,10.328816,7.0
E09000016,29.489504,10.0
E08000031,34.21414,38.0
E09000006,14.793481,9.0
E06000045,7.2883725,14.0
E06000034,27.835352,9.0
E10000003,16.138287,31.0
E06000052,18.460981,4.0
E08000034,9.520292,11.0
E09000027,25.48053,2.0
E06000016,14.84947,21.0
E06000006,47.91059,4.0
E08000024,65.821915,15.0
E10000006,17.829767,37.0
E08000013,22.04627,10.0
E09000018,20.58574,5.0
E06000021,13.935783,13.0
E06000002,13.976951,22.0
E09000009,40.23136,16.0
E06000009,32.415035,9.0
E10000021,17.69249,9.0
E10000027,29.955954,16.0
E10000002,28.651129,21.0
E10000018,4.2386565,22.0
E09000001,5.177725,0.0
E10000007,33.71178,16.0
E08000026,18.63269,10.0
E10000015,81.80887,49.0
E08000023,19.191517,19.0
E06000049,34.189545,21.0
E08000003,52.852825,24.0
E08000025,74.01639,63.0
E09000029,22.914984,12.0
E09000017,25.320198,10.0
E09000002,16.96358,6.0
E10000032,38.626293,19.0
E10000020,16.152893,69.0
E08000022,52.44122,15.0
E08000004,44.498028,22.0
E08000007,34.980305,24.0
E06000056,20.128769,13.0
E06000033,1.554728,5.0
E10000030,85.8939,47.0
E06000040,2.7203505,3.0
E10000008,21.755882,9.0
E09000021,28.869284,19.0
E08000014,17.008533,5.0
E06000014,8.5949335,13.0
E10000016,124.12413,127.0
E06000008,14.124214,8.0
E10000023,29.19219,22.0
E10000017,94.91896,87.0
E09000015,29.72369,13.0
E08000011,20.552746,10.0
E06000041,12.201022,26.0
E08000035,50.56791,49.0
E06000035,25.475994,9.0
E10000011,23.068623,9.0
E06000012,4.583718,7.0
E06000047,63.32932,38.0
E06000007,32.355293,13.0
E10000029,34.086697,27.0
E06000030,16.214394,12.0
E06000038,13.339004,14.0
E08000009,25.029871,13.0
E06000011,20.750416,14.0
E08000015,42.39685,28.0
E06000043,13.210494,1.0
E10000025,65.358154,34.0
E06000018,16.024239,21.0
E10000013,54.14544,23.0
E08000037,39.906406,17.0
E08000002,25.302818,10.0
E06000026,9.925918,17.0
E06000017,3.1598427,5.0
E06000027,2.8756862,9.0
E06000022,16.546825,5.0
E10000031,35.681637,33.0
E06000024,5.6933556,9.0
E06000046,4.606669,4.0
E09000026,23.527256,12.0
E06000050,29.632515,13.0
E06000059,16.45428,8.0
E06000031,3.592645,9.0
E10000019,27.979126,20.0
E06000044,10.477571,16.0
E09000008,41.964924,19.0
E08000030,26.862572,20.0
E10000012,75.5688,61.0
E09000022,28.573774,12.0
E06000003,5.1462083,12.0
E06000004,8.075845,15.0
E08000018,21.990843,22.0
E08000036,19.709467,16.0
E09000003,37.050602,6.0
E08000016,22.831524,20.0
E09000004,10.134278,14.0
E08000001,36.48061,35.0
E08000012,57.170544,21.0
E06000032,27.88661,15.0
E09000005,38.435402,9.0
E10000034,38.798378,28.0
E06000001,5.6746755,9.0
E08000032,29.787365,34.0
E06000015,3.4461749,11.0
E06000037,2.5340884,6.0
E09000010,30.306492,10.0
E06000039,11.169179,7.0
E08000017,8.799083,17.0
E10000028,54.767036,58.0
E06000020,4.3495936,15.0
E06000036,24.742395,7.0
