n,o,l
E06000013,1.1029598,5.0
E06000054,12.05651,10.0
E08000027,21.806856,19.0
E10000024,30.22829,36.0
E06000042,13.390658,20.0
E09000023,31.821777,29.0
E08000010,12.020067,33.0
E09000020,18.172571,19.0
E06000051,12.862569,9.0
E10000014,71.5852,115.0
E06000057,1.1879498,11.0
E06000005,11.215907,30.0
E06000055,12.041541,16.0
E08000008,7.7611423,10.0
E08000019,70.35935,49.0
E08000005,13.946504,27.0
E08000021,21.928114,40.0
E08000033,3.5237246,7.0
E09000016,14.474845,33.0
E08000031,38.952236,15.0
E09000006,13.194383,36.0
E06000045,11.372966,15.0
E06000034,17.66662,14.0
E10000003,12.323243,26.0
E06000052,10.378892,14.0
E08000034,18.424004,26.0
E09000027,15.052807,14.0
E06000016,4.639034,22.0
E06000006,10.559831,12.0
E08000024,50.129726,49.0
E10000006,12.730077,72.0
E08000013,20.739101,31.0
E09000018,3.3906155,22.0
E06000021,6.2733035,11.0
E06000002,1.6399231,25.0
E09000009,37.49316,10.0
E06000009,25.074778,44.0
E10000021,6.139731,24.0
E10000027,18.67156,10.0
E10000002,23.81134,37.0
E10000018,1.0799252,20.0
E09000001,1.4527584,0.0
E10000007,36.01698,36.0
E08000026,19.54321,22.0
E10000015,59.975582,78.0
E08000023,0.5752496,19.0
E06000049,11.1190405,28.0
E08000003,23.446346,59.0
E08000025,88.19706,84.0
E09000029,22.78396,29.0
E09000017,23.052813,27.0
E09000002,13.341042,22.0
E10000032,22.941357,55.0
E10000020,11.418398,51.0
E08000022,23.12464,26.0
E08000004,14.335376,42.0
E08000007,12.782306,28.0
E06000056,12.381452,19.0
E06000033,8.489456,18.0
E10000030,65.65731,117.0
E06000040,7.2257047,10.0
E10000008,13.703847,25.0
E09000021,14.544762,38.0
E08000014,13.767193,18.0
E06000014,2.5989087,13.0
E10000016,60.146015,120.0
E06000008,2.1494467,14.0
E10000023,16.02789,32.0
E10000017,53.644344,106.0
E09000015,34.491623,29.0
E08000011,6.7768483,15.0
E06000041,5.7986946,10.0
E08000035,24.670042,64.0
E06000035,13.23029,37.0
E10000011,12.634317,28.0
E06000012,1.3156236,3.0
E06000047,16.211103,63.0
E06000007,7.056133,31.0
E10000029,18.27615,27.0
E06000030,1.9247497,17.0
E06000038,6.6591334,13.0
E08000009,13.619924,19.0
E06000011,1.5723897,20.0
E08000015,13.877713,47.0
E06000043,10.266147,16.0
E10000025,28.138014,72.0
E06000018,11.855007,22.0
E10000013,20.311636,54.0
E08000037,10.558413,44.0
E08000002,11.830901,28.0
E06000026,4.3258033,8.0
E06000017,0.47822785,0.0
E06000027,2.7680862,6.0
E06000022,2.3572316,7.0
E10000031,29.586576,37.0
E06000024,1.1102058,4.0
E06000046,1.4905546,2.0
E09000026,20.726976,47.0
E06000050,11.330272,30.0
E06000059,9.247445,9.0
E06000031,4.2561426,9.0
E10000019,20.08505,29.0
E06000044,8.934005,8.0
E09000008,44.60583,44.0
E08000030,26.774752,33.0
E10000012,70.14714,90.0
E09000022,44.983276,39.0
E06000003,8.340106,12.0
E06000004,7.306214,19.0
E08000018,16.713,21.0
E08000036,12.47299,23.0
E09000003,52.805313,44.0
E08000016,19.190956,21.0
E09000004,18.394365,40.0
E08000001,7.711811,24.0
E08000012,31.92042,67.0
E06000032,13.021129,30.0
E09000005,50.390697,28.0
E10000034,27.44738,43.0
E06000001,0.90409887,11.0
E08000032,14.758124,33.0
E06000015,20.793018,14.0
E06000037,4.5409937,11.0
E09000010,25.117023,32.0
E06000039,12.074281,18.0
E08000017,14.192332,8.0
E10000028,36.961193,56.0
E06000020,5.9861417,12.0
E06000036,21.118378,11.0
