n,o,l
avila,21.981583,55.0
cadiz,14.2980795,3.0
ciudad_real,103.44241,204.0
soria,26.878859,19.0
huelva,8.827486,2.0
bizkaia,108.97623,60.0
jaen,18.068304,16.0
guadalajara,35.85761,49.0
badajoz,18.981441,9.0
leon,80.21027,70.0
malaga,33.869705,16.0
segovia,46.95442,30.0
albacete,29.011683,85.0
gipuzkoa,26.361006,3.0
alicante,37.40981,67.0
burgos,42.51165,15.0
tarragona,16.098478,3.0
cuenca,57.87136,43.0
valladolid,62.49564,95.0
toledo,23.448648,34.0
caceres,48.871605,89.0
araba/alava,120.61167,6.0
girona,0.18098612,22.0
zamora,9.832692,260.0
cordoba,17.709974,6.0
barcelona,705.084,9.0
lleida,28.462183,2.0
castellon,27.517061,49.0
valencia,95.56825,133.0
granada,31.994967,85.0
salamanca,52.189198,69.0
almeria,6.720708,0.0
palencia,12.429567,63.0
sevilla,26.563253,9.0
