n,o,l
avila,22.188013,9.0
cadiz,14.859232,0.0
ciudad_real,36.211468,34.0
soria,36.85793,12.0
huelva,11.999668,0.0
bizkaia,48.894604,0.0
jaen,16.72779,0.0
guadalajara,15.603791,6.0
badajoz,11.9549885,0.0
leon,22.87056,2.0
malaga,35.52669,0.0
segovia,28.876858,12.0
albacete,47.144375,5.0
gipuzkoa,11.18228,0.0
alicante,60.483982,29.0
burgos,64.0092,55.0
tarragona,8.632568,0.0
cuenca,68.823906,116.0
valladolid,17.677465,42.0
toledo,32.532852,21.0
caceres,12.548572,0.0
araba/alava,50.170193,0.0
girona,22.040585,0.0
zamora,108.333755,0.0
cordoba,15.992207,28.0
barcelona,12.279936,0.0
lleida,11.300245,0.0
castellon,22.000727,2.0
valencia,53.333683,25.0
granada,19.678806,0.0
salamanca,25.717903,7.0
almeria,13.078433,0.0
palencia,12.990747,12.0
sevilla,23.633104,0.0
