n,o,l
hautes_pyrenees,1.5412974,3.0
paris,149.72945,80.0
loire,0.0,0.0
landes,0.0,0.0
charente_maritime,1.9313843,0.0
ardeche,0.32305455,0.0
doubs,4.5572367,1.0
aube,7.1665864,0.0
essonne,64.73628,28.0
meurthe_et_moselle,6.502987,0.0
drome,0.83204913,0.0
dordogne,0.0,0.0
moselle,22.366451,0.0
tarn,0.0,0.0
lot,0.0,0.0
hauts_de_seine,107.93582,35.0
pas_de_calais,5.5802684,2.0
marne,12.571272,6.0
puy_de_dome,3.7805521,7.0
mayenne,0.0,0.0
val_de_marne,62.57003,17.0
pyrenees_atlantiques,18.452742,3.0
bas_rhin,3.12717,0.0
herault,43.667355,15.0
bouches_du_rhone,123.44937,19.0
alpes_maritimes,10.903185,1.0
charente,0.0,0.0
eure,7.00116,1.0
correze,0.0,0.0
haute_savoie,17.668846,2.0
seine_et_marne,44.332794,21.0
rhone,1.6659299,1.0
ain,2.2912738,1.0
haute_garonne,7.816279,0.0
jura,0.18177582,0.0
saone_et_loire,3.510237,0.0
indre,8.518579,0.0
pyrenees_orientales,0.0,0.0
ardennes,0.50644076,0.0
haut_rhin,54.67339,3.0
haute_saone,3.9539273,1.0
meuse,0.0,0.0
isere,1.0401871,0.0
territoire_de_belfort,1.5526266,0.0
cher,9.984097,2.0
loir_et_cher,0.0,0.0
seine_maritime,8.75983,1.0
val_d'oise,62.066032,6.0
aisne,13.430523,1.0
oise,40.8134,24.0
cote_d'or,1.0916386,0.0
vosges,15.675226,3.0
nord,6.067534,4.0
gironde,14.093465,3.0
yonne,0.0,0.0
lot_et_garonne,0.0,0.0
yvelines,39.348297,3.0
gers,0.9666852,1.0
savoie,0.0,0.0
loire_atlantique,0.3536312,0.0
alpes_de_haute_provence,0.38008183,0.0
haute_marne,0.0,0.0
eure_et_loir,15.28657,1.0
seine_saint_denis,88.59969,32.0
maine_et_loire,0.0,0.0
manche,1.095573,0.0
calvados,0.96106124,0.0
somme,7.419378,6.0
nievre,0.546413,1.0
vienne,0.0,0.0
cantal,0.0,1.0
tarn_et_garonne,0.0,1.0
haute_loire,0.0,0.0
indre_et_loire,1.9070377,0.0
vaucluse,11.944777,0.0
var,7.4006267,0.0
orne,0.0,0.0
haute_vienne,0.0,0.0
aude,3.8563328,0.0
loiret,13.873356,4.0
gard,6.2613378,2.0
