n,o,l
hautes_pyrenees,3.0036469,1.0
paris,98.72561,50.0
loire,0.0,0.0
landes,0.0,0.0
charente_maritime,2.9349575,0.0
ardeche,0.06357631,0.0
doubs,4.6579976,1.0
aube,6.7727304,0.0
essonne,40.434326,3.0
meurthe_et_moselle,3.6756854,0.0
drome,1.4440647,0.0
dordogne,0.0,0.0
moselle,18.200083,0.0
tarn,0.0,0.0
lot,0.0,0.0
hauts_de_seine,80.33257,9.0
pas_de_calais,8.9132185,2.0
marne,9.845027,0.0
puy_de_dome,4.7256036,6.0
mayenne,0.0,0.0
val_de_marne,55.714893,8.0
pyrenees_atlantiques,12.564886,0.0
bas_rhin,2.0666265,18.0
herault,29.804617,8.0
bouches_du_rhone,74.58373,12.0
alpes_maritimes,6.334459,0.0
charente,0.034723748,0.0
eure,9.182477,5.0
correze,0.0,0.0
haute_savoie,12.762904,1.0
seine_et_marne,37.98997,9.0
rhone,10.013831,0.0
ain,2.0007448,4.0
haute_garonne,3.3608317,0.0
jura,2.250411,2.0
saone_et_loire,7.3532977,0.0
indre,8.698695,1.0
pyrenees_orientales,0.0069524236,0.0
ardennes,0.4258572,5.0
haut_rhin,37.413673,0.0
haute_saone,2.8457775,2.0
meuse,0.40813434,0.0
isere,1.0353541,0.0
territoire_de_belfort,1.5232149,0.0
cher,5.2221565,0.0
loir_et_cher,0.0,0.0
seine_maritime,10.969257,2.0
val_d'oise,34.356853,8.0
aisne,15.563336,1.0
oise,36.269573,5.0
cote_d'or,1.7090212,0.0
vosges,13.562486,0.0
nord,7.6595845,0.0
gironde,10.28433,0.0
yonne,0.119449936,0.0
lot_et_garonne,0.0,0.0
yvelines,24.765741,3.0
gers,0.44131038,0.0
savoie,0.5271101,0.0
loire_atlantique,0.1556736,0.0
alpes_de_haute_provence,0.18123059,0.0
haute_marne,0.0,0.0
eure_et_loir,17.180017,0.0
seine_saint_denis,65.74946,10.0
maine_et_loire,0.0,0.0
manche,0.90871084,0.0
calvados,2.0332246,1.0
somme,10.846908,2.0
nievre,1.2179865,0.0
vienne,0.0,0.0
cantal,0.0,4.0
tarn_et_garonne,0.0,0.0
haute_loire,0.042503938,0.0
indre_et_loire,0.53560656,0.0
vaucluse,11.762065,0.0
var,3.5638895,2.0
orne,0.10253139,0.0
haute_vienne,0.0,0.0
aude,1.8321066,0.0
loiret,10.581769,0.0
gard,5.8676023,1.0
