n,o,l
avila,17.153042,48.0
cadiz,20.483622,0.0
ciudad_real,120.61982,169.0
soria,25.571383,103.0
huelva,3.2111824,1.0
bizkaia,117.96822,173.0
jaen,13.311458,8.0
guadalajara,23.140402,19.0
badajoz,12.811585,5.0
leon,86.324844,17.0
malaga,34.57036,105.0
segovia,56.847225,64.0
albacete,23.008013,17.0
gipuzkoa,37.60529,31.0
alicante,42.016247,17.0
burgos,36.175846,34.0
tarragona,0.14295872,33.0
cuenca,20.702944,25.0
valladolid,98.307655,44.0
toledo,19.354654,19.0
caceres,50.669815,42.0
araba/alava,61.332188,30.0
girona,0.14289063,163.0
zamora,13.698097,10.0
cordoba,17.66749,6.0
barcelona,603.86255,745.0
lleida,30.628298,68.0
castellon,22.01409,2.0
valencia,64.61436,41.0
granada,21.491964,58.0
salamanca,34.584232,49.0
almeria,4.3958583,7.0
palencia,6.12978,37.0
sevilla,34.64506,43.0
