n,o,l
avila,24.168324,38.0
cadiz,6.3372426,20.0
ciudad_real,57.82501,67.0
soria,16.485794,26.0
huelva,3.6547627,20.0
bizkaia,39.27536,0.0
jaen,8.582435,30.0
guadalajara,18.363262,51.0
badajoz,2.9034119,1.0
leon,30.44998,37.0
malaga,32.726482,92.0
segovia,19.574755,69.0
albacete,33.059975,88.0
gipuzkoa,10.51001,0.0
alicante,31.983116,61.0
burgos,36.039867,168.0
tarragona,5.6848025,0.0
cuenca,31.420864,130.0
valladolid,32.32719,28.0
toledo,20.181803,0.0
caceres,6.977394,12.0
araba/alava,35.305786,109.0
girona,42.693764,0.0
zamora,7.407515,253.0
cordoba,6.9975724,13.0
barcelona,209.9665,15.0
lleida,8.688539,6.0
castellon,18.101028,27.0
valencia,43.394238,63.0
granada,28.493334,46.0
salamanca,37.2949,37.0
almeria,4.963027,13.0
palencia,18.222942,11.0
sevilla,12.804871,13.0
