n,o,l
E06000013,12.039442,5.0
E06000054,6.413445,12.0
E08000027,10.947905,25.0
E10000024,15.682059,12.0
E06000042,3.534884,1.0
E09000023,5.733101,4.0
E08000010,19.250174,13.0
E09000020,1.6867701,2.0
E06000051,12.36968,15.0
E10000014,38.56182,18.0
E06000057,9.18783,6.0
E06000005,5.383642,1.0
E06000055,9.360304,5.0
E08000008,4.963154,2.0
E08000019,33.14881,30.0
E08000005,7.2560577,4.0
E08000021,12.321606,6.0
E08000033,3.3747647,1.0
E09000016,4.0320005,4.0
E08000031,16.998024,11.0
E09000006,10.010763,5.0
E06000045,5.957815,1.0
E06000034,2.735578,11.0
E10000003,15.733011,4.0
E06000052,6.3361516,7.0
E08000034,6.9616294,1.0
E09000027,1.8530318,3.0
E06000016,12.589287,2.0
E06000006,2.451054,7.0
E08000024,13.347053,13.0
E10000006,25.396576,6.0
E08000013,11.439697,4.0
E09000018,3.3150902,15.0
E06000021,13.90868,5.0
E06000002,12.032997,2.0
E09000009,12.710601,16.0
E06000009,7.3654566,10.0
E10000021,8.479553,8.0
E10000027,7.7879643,9.0
E10000002,13.160353,7.0
E10000018,14.934294,0.0
E09000001,1.724603,4.0
E10000007,38.361206,10.0
E08000026,6.948344,14.0
E10000015,30.920414,26.0
E08000023,13.646948,5.0
E06000049,19.40191,19.0
E08000003,16.008907,14.0
E08000025,31.088785,21.0
E09000029,4.166269,15.0
E09000017,4.226946,4.0
E09000002,2.2882915,1.0
E10000032,17.873596,11.0
E10000020,38.69357,0.0
E08000022,4.6792703,31.0
E08000004,8.9784355,14.0
E08000007,12.862514,9.0
E06000056,8.250233,8.0
E06000033,2.6241136,7.0
E10000030,28.152134,21.0
E06000040,3.4273477,4.0
E10000008,12.0386915,4.0
E09000021,8.376843,5.0
E08000014,3.2020807,5.0
E06000014,7.374359,8.0
E10000016,73.50235,55.0
E06000008,4.5660763,2.0
E10000023,25.212437,18.0
E10000017,45.969902,21.0
E09000015,7.778842,5.0
E08000011,9.29689,5.0
E06000041,2.398538,5.0
E08000035,33.324017,25.0
E06000035,7.1194096,8.0
E10000011,8.41757,6.0
E06000012,2.8902967,0.0
E06000047,31.517956,33.0
E06000007,10.7199135,5.0
E10000029,26.754463,12.0
E06000030,3.8571062,10.0
E06000038,7.595155,3.0
E08000009,7.181221,7.0
E06000011,19.28813,8.0
E08000015,14.072342,13.0
E06000043,3.07304,0.0
E10000025,23.855637,15.0
E06000018,6.4636135,4.0
E10000013,19.09708,7.0
E08000037,15.961158,5.0
E08000002,10.715544,4.0
E06000026,2.3698168,1.0
E06000017,0.443816,1.0
E06000027,1.9000767,2.0
E06000022,2.678949,2.0
E10000031,21.23537,25.0
E06000024,5.1551967,1.0
E06000046,3.6373503,6.0
E09000026,3.3326252,2.0
E06000050,17.879417,9.0
E06000059,4.645724,6.0
E06000031,7.5181255,3.0
E10000019,13.009981,8.0
E06000044,3.3141541,2.0
E09000008,12.180399,12.0
E08000030,20.989124,0.0
E10000012,54.252724,29.0
E09000022,6.1547256,0.0
E06000003,5.551183,0.0
E06000004,5.604307,4.0
E08000018,14.885416,13.0
E08000036,7.887995,9.0
E09000003,6.8180656,4.0
E08000016,14.668049,16.0
E09000004,5.325685,4.0
E08000001,9.9022255,9.0
E08000012,17.725546,10.0
E06000032,8.60737,3.0
E09000005,5.9534883,6.0
E10000034,14.457549,17.0
E06000001,6.4808197,4.0
E08000032,23.849396,18.0
E06000015,7.1150503,2.0
E06000037,3.710495,2.0
E09000010,6.1428723,4.0
E06000039,4.3523545,5.0
E08000017,11.611165,13.0
E10000028,32.668755,40.0
E06000020,5.783351,3.0
E06000036,3.0867274,1.0
