n,o,l
hautes_pyrenees,3.4069142,1.0
paris,192.95146,18.0
loire,0.86038905,0.0
landes,0.39633545,0.0
charente_maritime,6.5028415,0.0
ardeche,1.6327076,0.0
doubs,13.935522,0.0
aube,13.161257,0.0
essonne,75.688446,3.0
meurthe_et_moselle,5.1260695,0.0
drome,5.1008697,0.0
dordogne,1.7384747,0.0
moselle,12.121256,0.0
tarn,1.4982644,0.0
lot,0.3009852,0.0
hauts_de_seine,145.73174,30.0
pas_de_calais,2.677258,0.0
marne,15.890506,0.0
puy_de_dome,8.360737,0.0
mayenne,0.0,0.0
val_de_marne,78.973595,18.0
pyrenees_atlantiques,27.528036,0.0
bas_rhin,4.5002956,0.0
herault,83.776146,4.0
bouches_du_rhone,174.17967,4.0
alpes_maritimes,20.689104,0.0
charente,1.8012106,0.0
eure,12.649634,1.0
correze,2.849114,0.0
haute_savoie,30.994242,0.0
seine_et_marne,40.13573,3.0
rhone,5.98501,0.0
ain,7.0430317,0.0
haute_garonne,18.802444,0.0
jura,1.5359344,0.0
saone_et_loire,7.202137,0.0
indre,8.200584,0.0
pyrenees_orientales,0.12951505,0.0
ardennes,2.7811477,0.0
haut_rhin,38.677334,1.0
haute_saone,16.637032,0.0
meuse,1.2691474,0.0
isere,5.643768,0.0
territoire_de_belfort,5.187261,0.0
cher,15.946428,0.0
loir_et_cher,4.671718,0.0
seine_maritime,21.909496,1.0
val_d'oise,106.677925,9.0
aisne,13.381453,0.0
oise,47.14315,3.0
cote_d'or,1.2278183,0.0
vosges,20.879456,1.0
nord,20.706316,0.0
gironde,16.739208,0.0
yonne,1.1880162,0.0
lot_et_garonne,2.3663967,0.0
yvelines,49.71465,2.0
gers,4.9728155,0.0
savoie,2.2252963,0.0
loire_atlantique,6.375487,0.0
alpes_de_haute_provence,3.159433,0.0
haute_marne,2.3583794,0.0
eure_et_loir,28.923122,0.0
seine_saint_denis,98.19894,17.0
maine_et_loire,0.24093044,0.0
manche,2.5789351,0.0
calvados,14.52239,0.0
somme,15.58125,3.0
nievre,4.7868443,0.0
vienne,0.35619903,0.0
cantal,1.1569775,0.0
tarn_et_garonne,2.830783,0.0
haute_loire,3.8399525,0.0
indre_et_loire,4.101487,0.0
vaucluse,26.827015,0.0
var,5.995562,0.0
orne,5.9011645,0.0
haute_vienne,3.4722614,1.0
aude,8.606625,0.0
loiret,15.350544,0.0
gard,7.72675,0.0
