n,o,l
avila,33.16045,58.0
cadiz,15.895542,43.0
ciudad_real,0.15067181,115.0
soria,19.211555,120.0
huelva,5.8068643,5.0
bizkaia,194.43695,305.0
jaen,30.73138,23.0
guadalajara,0.15067181,33.0
badajoz,30.253796,7.0
leon,49.49304,112.0
malaga,40.92954,84.0
segovia,94.305145,85.0
albacete,0.15139025,44.0
gipuzkoa,59.845314,43.0
alicante,68.67949,38.0
burgos,27.582195,14.0
tarragona,24.28305,46.0
cuenca,0.15067738,13.0
valladolid,107.190475,92.0
toledo,58.511456,44.0
caceres,66.597565,43.0
araba/alava,0.15067181,71.0
girona,31.181442,209.0
zamora,938.8698,42.0
cordoba,24.241173,9.0
barcelona,16.09632,760.0
lleida,60.972572,35.0
castellon,34.999065,60.0
valencia,135.70503,74.0
granada,41.443783,51.0
salamanca,73.036545,66.0
almeria,8.029475,19.0
palencia,24.126368,24.0
sevilla,53.967335,49.0
