n,o,l
hautes_pyrenees,5.734935,6.0
paris,50.866238,33.0
loire,0.81589687,1.0
landes,0.6550888,0.0
charente_maritime,3.4491067,0.0
ardeche,2.6016731,4.0
doubs,4.3871994,6.0
aube,9.6641,6.0
essonne,51.970707,36.0
meurthe_et_moselle,1.6660981,0.0
drome,0.8215972,1.0
dordogne,0.6483077,0.0
moselle,11.699404,2.0
tarn,0.44606137,0.0
lot,0.62797976,0.0
hauts_de_seine,37.00211,3.0
pas_de_calais,18.102894,20.0
marne,9.1239605,1.0
puy_de_dome,5.251397,1.0
mayenne,0.6050223,0.0
val_de_marne,31.728317,15.0
pyrenees_atlantiques,12.918893,2.0
bas_rhin,0.3914721,1.0
herault,9.996184,3.0
bouches_du_rhone,60.90371,22.0
alpes_maritimes,0.754019,0.0
charente,0.6176716,0.0
eure,18.765072,9.0
correze,0.7357193,0.0
haute_savoie,4.536968,18.0
seine_et_marne,50.256107,15.0
rhone,3.837467,3.0
ain,10.818255,4.0
haute_garonne,8.380166,3.0
jura,7.250677,1.0
saone_et_loire,6.660856,0.0
indre,8.253817,8.0
pyrenees_orientales,0.6065335,0.0
ardennes,1.5375881,2.0
haut_rhin,7.6253805,3.0
haute_saone,8.121111,0.0
meuse,2.428309,0.0
isere,0.71917045,0.0
territoire_de_belfort,0.8192371,0.0
cher,6.9844856,0.0
loir_et_cher,0.64843506,0.0
seine_maritime,6.685132,3.0
val_d'oise,22.31633,5.0
aisne,9.26757,5.0
oise,18.627888,9.0
cote_d'or,0.41733253,2.0
vosges,2.3516493,0.0
nord,8.647409,7.0
gironde,1.5713764,0.0
yonne,1.2685865,1.0
lot_et_garonne,0.32997525,1.0
yvelines,25.990652,10.0
gers,4.848507,3.0
savoie,1.2839346,0.0
loire_atlantique,0.6464651,0.0
alpes_de_haute_provence,0.7322142,2.0
haute_marne,0.4972938,0.0
eure_et_loir,8.622685,6.0
seine_saint_denis,51.54395,8.0
maine_et_loire,0.7141999,0.0
manche,1.7398932,0.0
calvados,0.70137954,0.0
somme,13.842064,36.0
nievre,2.9900432,0.0
vienne,0.65604174,0.0
cantal,0.5536121,0.0
tarn_et_garonne,0.47145304,2.0
haute_loire,0.5682844,0.0
indre_et_loire,0.6240758,1.0
vaucluse,5.8943286,1.0
var,2.3294194,0.0
orne,0.79813707,0.0
haute_vienne,0.7253618,0.0
aude,0.74130833,2.0
loiret,0.5070323,0.0
gard,5.8341017,1.0
