n,o,l
avila,23.882444,42.0
cadiz,12.829891,9.0
ciudad_real,71.051346,178.0
soria,26.35529,33.0
huelva,4.654767,7.0
bizkaia,133.27159,197.0
jaen,21.70105,22.0
guadalajara,19.023914,51.0
badajoz,20.617596,17.0
leon,46.83342,67.0
malaga,25.394192,170.0
segovia,65.815025,35.0
albacete,23.624313,98.0
gipuzkoa,50.611534,57.0
alicante,66.63278,48.0
burgos,26.499144,32.0
tarragona,3.435961,23.0
cuenca,11.368676,70.0
valladolid,122.85514,55.0
toledo,15.328541,99.0
caceres,46.072758,38.0
araba/alava,25.631454,98.0
girona,0.16718349,182.0
zamora,15.914581,19.0
cordoba,15.442324,5.0
barcelona,616.7696,705.0
lleida,34.98976,29.0
castellon,31.177208,23.0
valencia,106.88198,100.0
granada,33.956413,54.0
salamanca,54.5091,49.0
almeria,3.2723372,5.0
palencia,15.704188,56.0
sevilla,35.576405,43.0
