n,o,l
E06000013,9.091651,3.0
E06000054,6.96631,6.0
E08000027,14.954297,3.0
E10000024,21.387667,11.0
E06000042,7.6974235,2.0
E09000023,3.513463,4.0
E08000010,11.094043,12.0
E09000020,0.2209607,6.0
E06000051,8.062416,26.0
E10000014,38.232224,21.0
E06000057,14.599766,10.0
E06000005,6.2957296,4.0
E06000055,10.434891,9.0
E08000008,4.675614,4.0
E08000019,31.933641,13.0
E08000005,4.7640996,12.0
E08000021,20.869352,16.0
E08000033,1.7180879,5.0
E09000016,1.0303081,0.0
E08000031,16.12012,13.0
E09000006,15.526597,11.0
E06000045,9.419441,6.0
E06000034,2.0559514,3.0
E10000003,19.38014,22.0
E06000052,4.1637583,4.0
E08000034,9.264177,6.0
E09000027,4.2246923,4.0
E06000016,11.120284,8.0
E06000006,2.610177,3.0
E08000024,19.74387,10.0
E10000006,44.4533,30.0
E08000013,7.053218,4.0
E09000018,8.3502655,5.0
E06000021,14.419919,18.0
E06000002,7.528714,7.0
E09000009,8.885255,3.0
E06000009,7.6623116,14.0
E10000021,9.569338,19.0
E10000027,11.583356,4.0
E10000002,6.743019,8.0
E10000018,15.203122,18.0
E09000001,0.0,0.0
E10000007,20.74231,29.0
E08000026,4.7269125,5.0
E10000015,37.055805,19.0
E08000023,17.330048,5.0
E06000049,17.96395,14.0
E08000003,14.485053,17.0
E08000025,31.322268,24.0
E09000029,2.63348,3.0
E09000017,1.3312712,9.0
E09000002,0.0,6.0
E10000032,19.155718,7.0
E10000020,40.90085,23.0
E08000022,7.7285366,6.0
E08000004,10.800416,26.0
E08000007,17.424124,8.0
E06000056,4.1601605,5.0
E06000033,0.8014411,7.0
E10000030,24.217352,13.0
E06000040,0.6271837,2.0
E10000008,9.518619,4.0
E09000021,10.4977865,3.0
E08000014,5.7016773,1.0
E06000014,10.498659,14.0
E10000016,66.88637,53.0
E06000008,4.7957544,7.0
E10000023,27.6654,15.0
E10000017,44.869453,22.0
E09000015,10.563182,13.0
E08000011,7.944252,2.0
E06000041,4.497657,6.0
E08000035,27.54526,37.0
E06000035,5.40091,5.0
E10000011,8.284571,3.0
E06000012,0.0,1.0
E06000047,43.9347,21.0
E06000007,9.729228,4.0
E10000029,20.962267,25.0
E06000030,1.8573061,9.0
E06000038,5.723954,2.0
E08000009,6.7022247,6.0
E06000011,22.4167,12.0
E08000015,8.508791,11.0
E06000043,1.714288,0.0
E10000025,21.32395,18.0
E06000018,0.0,5.0
E10000013,13.608615,7.0
E08000037,22.338198,20.0
E08000002,8.273166,4.0
E06000026,0.7994617,6.0
E06000017,0.0,1.0
E06000027,0.0,2.0
E06000022,0.0,2.0
E10000031,17.460161,10.0
E06000024,6.1674867,6.0
E06000046,0.4559775,4.0
E09000026,7.2769356,9.0
E06000050,15.452533,9.0
E06000059,0.94768,1.0
E06000031,4.9330854,36.0
E10000019,9.650856,50.0
E06000044,0.15626077,1.0
E09000008,12.855517,4.0
E08000030,17.669985,3.0
E10000012,43.808228,47.0
E09000022,4.159345,7.0
E06000003,3.5480363,7.0
E06000004,6.8169637,7.0
E08000018,14.049531,11.0
E08000036,9.692702,15.0
E09000003,6.661706,5.0
E08000016,9.369497,7.0
E09000004,5.3656597,4.0
E08000001,12.140759,8.0
E08000012,16.723465,2.0
E06000032,2.448685,1.0
E09000005,6.799262,5.0
E10000034,11.838413,10.0
E06000001,2.975236,10.0
E08000032,27.79393,17.0
E06000015,2.0850136,5.0
E06000037,3.599142,1.0
E09000010,2.9285464,1.0
E06000039,3.309816,0.0
E08000017,19.378181,0.0
E10000028,26.548645,18.0
E06000020,4.1115804,1.0
E06000036,0.048222236,2.0
