n,o,l
avila,29.498981,16.0
cadiz,8.836119,0.0
ciudad_real,60.812473,79.0
soria,24.391748,0.0
huelva,6.895459,0.0
bizkaia,41.17793,0.0
jaen,8.331396,0.0
guadalajara,20.766542,9.0
badajoz,5.0943656,1.0
leon,26.902922,27.0
malaga,30.777796,0.0
segovia,16.378107,49.0
albacete,39.31343,14.0
gipuzkoa,10.3053055,0.0
alicante,38.284126,28.0
burgos,40.589523,3.0
tarragona,6.056773,0.0
cuenca,42.76074,59.0
valladolid,27.13703,9.0
toledo,24.603247,0.0
caceres,7.3337507,1.0
araba/alava,39.53605,46.0
girona,33.633816,0.0
zamora,8.385315,0.0
cordoba,8.331651,7.0
barcelona,169.76154,0.0
lleida,11.199419,0.0
castellon,22.988321,3.0
valencia,41.336624,10.0
granada,32.05078,0.0
salamanca,32.6352,96.0
almeria,5.81014,0.0
palencia,23.483427,6.0
sevilla,15.749844,0.0
