n,o,l
hautes_pyrenees,10.980112,10.0
paris,227.20111,123.0
loire,3.276884,1.0
landes,3.1989462,2.0
charente_maritime,10.323365,10.0
ardeche,10.724082,2.0
doubs,21.940897,13.0
aube,24.094353,12.0
essonne,88.75291,59.0
meurthe_et_moselle,23.424355,2.0
drome,10.932148,7.0
dordogne,9.676884,1.0
moselle,41.11518,12.0
tarn,7.706355,1.0
lot,3.9215317,3.0
hauts_de_seine,171.23112,96.0
pas_de_calais,13.930015,20.0
marne,24.204166,11.0
puy_de_dome,13.97411,10.0
mayenne,0.0,0.0
val_de_marne,75.12685,87.0
pyrenees_atlantiques,30.915247,5.0
bas_rhin,7.3030496,23.0
herault,108.76599,47.0
bouches_du_rhone,231.34404,153.0
alpes_maritimes,12.887463,7.0
charente,5.22282,3.0
eure,17.734413,20.0
correze,0.5320907,2.0
haute_savoie,44.0597,15.0
seine_et_marne,57.049683,57.0
rhone,6.8288016,36.0
ain,10.470278,2.0
haute_garonne,17.740715,12.0
jura,4.720732,12.0
saone_et_loire,11.981289,26.0
indre,17.303286,21.0
pyrenees_orientales,0.0,1.0
ardennes,8.701605,1.0
haut_rhin,41.565006,34.0
haute_saone,16.63319,10.0
meuse,2.12004,0.0
isere,17.366764,4.0
territoire_de_belfort,14.326765,5.0
cher,22.57592,6.0
loir_et_cher,9.100277,0.0
seine_maritime,32.449017,26.0
val_d'oise,135.60954,47.0
aisne,7.4302034,33.0
oise,59.82045,44.0
cote_d'or,10.39358,7.0
vosges,23.814781,31.0
nord,15.981953,13.0
gironde,42.686527,18.0
yonne,0.0,0.0
lot_et_garonne,0.36737934,0.0
yvelines,59.78696,31.0
gers,9.543873,3.0
savoie,10.871242,4.0
loire_atlantique,5.0863347,2.0
alpes_de_haute_provence,8.966734,3.0
haute_marne,10.733839,0.0
eure_et_loir,29.183815,46.0
seine_saint_denis,122.33927,96.0
maine_et_loire,0.22493598,1.0
manche,13.347599,6.0
calvados,11.644621,6.0
somme,18.952843,23.0
nievre,4.9111557,3.0
vienne,0.0,1.0
cantal,0.2625014,0.0
tarn_et_garonne,11.519408,2.0
haute_loire,2.5272224,1.0
indre_et_loire,19.182167,5.0
vaucluse,27.624718,26.0
var,32.69633,6.0
orne,5.8250685,4.0
haute_vienne,8.868444,1.0
aude,19.64891,2.0
loiret,24.115185,18.0
gard,13.027875,5.0
