n,o,l
avila,29.60191,45.0
cadiz,9.006376,15.0
ciudad_real,100.5872,89.0
soria,30.185184,28.0
huelva,3.4380426,9.0
bizkaia,96.18873,0.0
jaen,11.416817,24.0
guadalajara,30.347889,18.0
badajoz,5.037129,4.0
leon,57.73309,41.0
malaga,45.670063,38.0
segovia,30.256634,52.0
albacete,41.255634,86.0
gipuzkoa,22.44069,0.0
alicante,29.797092,80.0
burgos,14.530702,149.0
tarragona,13.664885,4.0
cuenca,27.870687,55.0
valladolid,58.395805,46.0
toledo,32.60512,0.0
caceres,14.624305,17.0
araba/alava,55.66029,29.0
girona,72.503204,94.0
zamora,11.728393,21.0
cordoba,6.779454,30.0
barcelona,342.5325,356.0
lleida,13.663571,14.0
castellon,38.26988,23.0
valencia,58.693897,55.0
granada,40.46713,43.0
salamanca,48.35825,72.0
almeria,6.235189,13.0
palencia,26.8008,16.0
sevilla,17.972267,24.0
