n,o,l
hautes_pyrenees,2.7495115,6.0
paris,174.14941,138.0
loire,0.0,1.0
landes,0.0,3.0
charente_maritime,3.3293,5.0
ardeche,1.0590361,0.0
doubs,7.516629,7.0
aube,11.124819,24.0
essonne,70.98624,54.0
meurthe_et_moselle,7.755949,4.0
drome,1.0578569,2.0
dordogne,0.0,0.0
moselle,20.0742,50.0
tarn,0.7443481,1.0
lot,0.0,2.0
hauts_de_seine,128.42188,131.0
pas_de_calais,6.842658,16.0
marne,14.201212,17.0
puy_de_dome,4.8574743,10.0
mayenne,0.0,0.0
val_de_marne,72.67281,86.0
pyrenees_atlantiques,4.2106743,17.0
bas_rhin,27.99924,2.0
herault,54.75786,41.0
bouches_du_rhone,161.76132,114.0
alpes_maritimes,17.57637,7.0
charente,0.0,0.0
eure,9.582851,10.0
correze,0.0,1.0
haute_savoie,24.433826,19.0
seine_et_marne,46.96825,64.0
rhone,2.7671838,18.0
ain,3.9245663,4.0
haute_garonne,13.520003,8.0
jura,0.02148319,6.0
saone_et_loire,5.384083,10.0
indre,8.965559,18.0
pyrenees_orientales,0.0,0.0
ardennes,0.86234057,2.0
haut_rhin,50.668003,59.0
haute_saone,6.946347,7.0
meuse,0.0,6.0
isere,2.6057024,1.0
territoire_de_belfort,2.858724,6.0
cher,12.705157,12.0
loir_et_cher,0.11121687,2.0
seine_maritime,14.627687,15.0
val_d'oise,80.23212,57.0
aisne,16.37009,22.0
oise,51.05085,74.0
cote_d'or,0.92847466,6.0
vosges,19.218304,29.0
nord,11.189203,8.0
gironde,17.563187,21.0
yonne,0.0,0.0
lot_et_garonne,0.0,0.0
yvelines,44.192482,46.0
gers,1.8986223,6.0
savoie,0.018733863,0.0
loire_atlantique,0.7992091,1.0
alpes_de_haute_provence,0.5091157,2.0
haute_marne,0.65167177,3.0
eure_et_loir,19.219805,28.0
seine_saint_denis,96.709885,133.0
maine_et_loire,0.0,0.0
manche,3.3421204,2.0
calvados,5.09459,6.0
somme,10.492905,24.0
nievre,0.9750035,10.0
vienne,0.0,2.0
cantal,0.0,2.0
tarn_et_garonne,0.035764046,3.0
haute_loire,0.0,0.0
indre_et_loire,4.1068354,3.0
vaucluse,17.651413,20.0
var,8.492249,4.0
orne,0.70270205,1.0
haute_vienne,0.57422245,3.0
aude,6.374404,9.0
loiret,16.646206,19.0
gard,6.5011263,19.0
