n,o,l
hautes_pyrenees,2.7653701,8.0
paris,92.52512,125.0
loire,0.0,0.0
landes,0.0,1.0
charente_maritime,2.4621048,1.0
ardeche,0.0,4.0
doubs,4.070656,13.0
aube,6.9935822,28.0
essonne,39.869286,101.0
meurthe_et_moselle,2.62264,9.0
drome,1.3961254,0.0
dordogne,0.0,0.0
moselle,17.958704,90.0
tarn,0.0,2.0
lot,0.0,1.0
hauts_de_seine,73.91941,102.0
pas_de_calais,8.760033,20.0
marne,9.0473385,16.0
puy_de_dome,4.7096605,10.0
mayenne,0.0,1.0
val_de_marne,53.53886,95.0
pyrenees_atlantiques,11.319267,19.0
bas_rhin,1.2688141,3.0
herault,27.153028,20.0
bouches_du_rhone,70.971275,166.0
alpes_maritimes,4.332479,4.0
charente,0.0,4.0
eure,9.188706,27.0
correze,0.0,3.0
haute_savoie,9.8998375,14.0
seine_et_marne,38.069958,84.0
rhone,11.265226,12.0
ain,1.6525218,11.0
haute_garonne,3.1200197,6.0
jura,2.2283123,1.0
saone_et_loire,7.6252503,14.0
indre,8.32763,15.0
pyrenees_orientales,0.0,2.0
ardennes,0.21189332,3.0
haut_rhin,30.655813,67.0
haute_saone,2.8895917,8.0
meuse,0.7083363,6.0
isere,0.23322824,4.0
territoire_de_belfort,1.5364109,9.0
cher,3.7244136,31.0
loir_et_cher,0.0,1.0
seine_maritime,10.78132,13.0
val_d'oise,30.865545,45.0
aisne,14.190088,21.0
oise,36.656868,69.0
cote_d'or,1.9510981,2.0
vosges,13.856409,17.0
nord,8.121673,32.0
gironde,10.055118,12.0
yonne,0.0,1.0
lot_et_garonne,0.0,1.0
yvelines,22.596838,50.0
gers,0.30694115,5.0
savoie,0.020656914,4.0
loire_atlantique,0.0,0.0
alpes_de_haute_provence,0.0,0.0
haute_marne,0.0,1.0
eure_et_loir,17.985176,33.0
seine_saint_denis,67.79521,73.0
maine_et_loire,0.0,0.0
manche,0.578799,4.0
calvados,2.2351506,4.0
somme,11.606983,20.0
nievre,1.43626,8.0
vienne,0.0,0.0
cantal,0.0,0.0
tarn_et_garonne,0.0,21.0
haute_loire,0.0,0.0
indre_et_loire,0.20119712,5.0
vaucluse,11.393785,32.0
var,2.933169,8.0
orne,0.0,4.0
haute_vienne,0.0,2.0
aude,1.7241157,12.0
loiret,9.845615,21.0
gard,5.7942505,6.0
