n,o,l
hautes_pyrenees,11.101403,7.0
paris,160.63939,42.0
loire,0.10887241,0.0
landes,0.3045425,0.0
charente_maritime,0.9247,2.0
ardeche,2.8057766,4.0
doubs,15.516079,2.0
aube,31.231792,9.0
essonne,106.22205,83.0
meurthe_et_moselle,11.490702,0.0
drome,0.63613224,0.0
dordogne,0.0,0.0
moselle,85.35097,5.0
tarn,1.8574862,1.0
lot,0.40469077,0.0
hauts_de_seine,138.4609,22.0
pas_de_calais,28.768972,25.0
marne,24.122211,7.0
puy_de_dome,13.96414,4.0
mayenne,0.0,0.0
val_de_marne,119.320045,17.0
pyrenees_atlantiques,27.961983,1.0
bas_rhin,2.333232,4.0
herault,43.78485,8.0
bouches_du_rhone,180.09438,55.0
alpes_maritimes,4.4385557,1.0
charente,3.2530186,0.0
eure,32.247116,19.0
correze,2.1413405,1.0
haute_savoie,20.544445,8.0
seine_et_marne,95.76948,31.0
rhone,17.282316,5.0
ain,10.205681,14.0
haute_garonne,6.1495423,13.0
jura,0.7282021,13.0
saone_et_loire,21.250774,8.0
indre,22.873634,6.0
pyrenees_orientales,1.5251787,1.0
ardennes,3.9716964,4.0
haut_rhin,75.41093,3.0
haute_saone,13.008652,4.0
meuse,8.662588,7.0
isere,4.172156,0.0
territoire_de_belfort,11.020502,2.0
cher,25.184212,9.0
loir_et_cher,1.4705695,0.0
seine_maritime,24.948227,10.0
val_d'oise,65.43136,24.0
aisne,35.586754,12.0
oise,85.44925,19.0
cote_d'or,4.1905913,1.0
vosges,28.34483,0.0
nord,33.188396,7.0
gironde,23.17477,1.0
yonne,0.6071212,3.0
lot_et_garonne,0.34162295,0.0
yvelines,60.01477,11.0
gers,6.1928325,7.0
savoie,2.676373,3.0
loire_atlantique,0.0,0.0
alpes_de_haute_provence,0.0,0.0
haute_marne,2.0396645,2.0
eure_et_loir,49.350594,11.0
seine_saint_denis,131.53642,56.0
maine_et_loire,0.0,1.0
manche,6.1206746,0.0
calvados,9.738781,1.0
somme,30.448204,18.0
nievre,11.477978,3.0
vienne,0.25331962,0.0
cantal,0.0,1.0
tarn_et_garonne,13.884538,0.0
haute_loire,0.0,0.0
indre_et_loire,6.1268964,0.0
vaucluse,38.40467,4.0
var,11.111703,2.0
orne,4.2846127,1.0
haute_vienne,1.578366,1.0
aude,13.181015,3.0
loiret,26.979733,0.0
gard,18.004787,8.0
