n,o,l
hautes_pyrenees,1.2182431,40.0
paris,89.25952,79.0
loire,0.0,1.0
landes,0.0,0.0
charente_maritime,0.58511055,42.0
ardeche,1.032325,7.0
doubs,3.8534782,12.0
aube,10.534362,20.0
essonne,67.33066,61.0
meurthe_et_moselle,3.3363464,7.0
drome,0.37680313,7.0
dordogne,0.0,0.0
moselle,0.0,52.0
tarn,0.25792652,4.0
lot,0.0,0.0
hauts_de_seine,60.062317,93.0
pas_de_calais,17.576242,28.0
marne,7.6872873,8.0
puy_de_dome,6.1405897,10.0
mayenne,0.0,0.0
val_de_marne,48.269337,56.0
pyrenees_atlantiques,4.1459575,37.0
bas_rhin,1.1448815,0.0
herault,14.193414,16.0
bouches_du_rhone,82.45265,127.0
alpes_maritimes,5.2567453,1.0
charente,0.0,0.0
eure,17.762657,36.0
correze,0.0,0.0
haute_savoie,8.806715,30.0
seine_et_marne,55.04903,72.0
rhone,4.8704357,11.0
ain,52.772076,19.0
haute_garonne,4.32933,2.0
jura,5.5298405,1.0
saone_et_loire,6.977439,13.0
indre,2.7084644,15.0
pyrenees_orientales,0.4398995,0.0
ardennes,0.0,5.0
haut_rhin,18.022774,67.0
haute_saone,4.159546,23.0
meuse,0.6077338,3.0
isere,1.7988358,3.0
territoire_de_belfort,1.5554739,2.0
cher,3.0008678,17.0
loir_et_cher,0.037964642,0.0
seine_maritime,10.167974,9.0
val_d'oise,39.784367,41.0
aisne,10.313662,14.0
oise,29.51491,32.0
cote_d'or,0.0,5.0
vosges,6.098695,12.0
nord,12.919282,20.0
gironde,5.963152,14.0
yonne,0.17229417,3.0
lot_et_garonne,0.0,2.0
yvelines,28.509693,41.0
gers,0.2687475,6.0
savoie,0.0,0.0
loire_atlantique,0.0,0.0
alpes_de_haute_provence,0.0,4.0
haute_marne,0.0,3.0
eure_et_loir,35.096104,9.0
seine_saint_denis,54.943607,79.0
maine_et_loire,0.0,0.0
manche,2.2014358,16.0
calvados,0.89437467,4.0
somme,10.998211,18.0
nievre,0.34412736,12.0
vienne,0.0,1.0
cantal,0.03760964,0.0
tarn_et_garonne,0.0,3.0
haute_loire,0.0,1.0
indre_et_loire,0.98104805,1.0
vaucluse,6.9773545,17.0
var,5.3484683,5.0
orne,0.0,5.0
haute_vienne,0.6440194,2.0
aude,5.4665985,4.0
loiret,10.699313,0.0
gard,7.8085756,10.0
