n,o,l
E06000013,7.960263,12.0
E06000054,12.613614,10.0
E08000027,28.762304,27.0
E10000024,40.408432,14.0
E06000042,14.485774,5.0
E09000023,41.724403,6.0
E08000010,23.558468,26.0
E09000020,17.462805,6.0
E06000051,13.452335,8.0
E10000014,86.1937,60.0
E06000057,24.451435,25.0
E06000005,8.812362,8.0
E06000055,13.582411,11.0
E08000008,17.984167,8.0
E08000019,65.39056,59.0
E08000005,18.005766,10.0
E08000021,33.083176,17.0
E08000033,12.193614,4.0
E09000016,27.85389,9.0
E08000031,39.68929,12.0
E09000006,16.104391,15.0
E06000045,11.819652,3.0
E06000034,23.390057,8.0
E10000003,19.445484,13.0
E06000052,22.573301,12.0
E08000034,15.148839,3.0
E09000027,20.6354,15.0
E06000016,16.332693,6.0
E06000006,45.226826,32.0
E08000024,57.78173,23.0
E10000006,29.75412,9.0
E08000013,26.46018,10.0
E09000018,12.748887,12.0
E06000021,23.040285,23.0
E06000002,16.455854,22.0
E09000009,35.58024,13.0
E06000009,53.351997,25.0
E10000021,15.014651,13.0
E10000027,29.653322,18.0
E10000002,6.20699,16.0
E10000018,1.7478757,0.0
E09000001,7.7450666,5.0
E10000007,41.08574,7.0
E08000026,25.981533,12.0
E10000015,85.65346,38.0
E08000023,15.954865,13.0
E06000049,21.643373,24.0
E08000003,37.06528,29.0
E08000025,111.96432,58.0
E09000029,21.242474,3.0
E09000017,28.404276,15.0
E09000002,15.406877,6.0
E10000032,35.70282,27.0
E10000020,8.36853,17.0
E08000022,33.574768,39.0
E08000004,20.835066,24.0
E08000007,29.645685,23.0
E06000056,16.995192,11.0
E06000033,18.210003,1.0
E10000030,81.7595,47.0
E06000040,8.182664,2.0
E10000008,26.190577,14.0
E09000021,35.13423,12.0
E08000014,18.811728,12.0
E06000014,6.709894,4.0
E10000016,86.743866,101.0
E06000008,11.509954,14.0
E10000023,30.171656,18.0
E10000017,99.56493,75.0
E09000015,30.306314,13.0
E08000011,22.51629,5.0
E06000041,12.195795,4.0
E08000035,31.111141,33.0
E06000035,22.53322,17.0
E10000011,20.68409,14.0
E06000012,4.172632,2.0
E06000047,35.483593,46.0
E06000007,21.369463,11.0
E10000029,28.179632,62.0
E06000030,11.280987,6.0
E06000038,13.885473,5.0
E08000009,23.908163,13.0
E06000011,14.7753,12.0
E08000015,49.96827,19.0
E06000043,14.2255,12.0
E10000025,55.25208,34.0
E06000018,18.303173,2.0
E10000013,38.833366,32.0
E08000037,29.419132,26.0
E08000002,14.671099,17.0
E06000026,13.044085,2.0
E06000017,1.6247967,0.0
E06000027,0.38048977,3.0
E06000022,2.9728997,4.0
E10000031,44.045605,42.0
E06000024,7.0834627,6.0
E06000046,1.57093,3.0
E09000026,28.242586,5.0
E06000050,30.9388,13.0
E06000059,12.374191,8.0
E06000031,5.375269,1.0
E10000019,28.78662,14.0
E06000044,7.1641073,5.0
E09000008,62.48127,24.0
E08000030,35.068237,12.0
E10000012,96.139824,40.0
E09000022,44.479008,11.0
E06000003,13.190481,4.0
E06000004,15.498829,6.0
E08000018,20.85471,22.0
E08000036,19.85906,13.0
E09000003,50.352646,13.0
E08000016,14.845707,9.0
E09000004,24.832483,9.0
E08000001,26.036861,17.0
E08000012,54.020596,19.0
E06000032,20.82398,33.0
E09000005,60.005474,24.0
E10000034,36.706318,33.0
E06000001,4.258601,11.0
E08000032,25.690199,20.0
E06000015,25.46924,3.0
E06000037,12.333927,14.0
E09000010,26.948328,10.0
E06000039,12.194784,8.0
E08000017,16.841433,18.0
E10000028,52.521816,46.0
E06000020,7.764043,17.0
E06000036,21.4748,16.0
