n,o,l
avila,23.274912,35.0
cadiz,16.717905,11.0
ciudad_real,110.50082,175.0
soria,39.850677,23.0
huelva,3.8079908,6.0
bizkaia,149.94508,152.0
jaen,27.341309,8.0
guadalajara,17.124186,57.0
badajoz,25.120367,5.0
leon,30.12729,104.0
malaga,32.803497,23.0
segovia,79.11191,68.0
albacete,38.714993,56.0
gipuzkoa,83.33041,35.0
alicante,90.72863,79.0
burgos,32.62898,25.0
tarragona,45.506252,0.0
cuenca,7.6332226,36.0
valladolid,175.02162,135.0
toledo,27.072378,21.0
caceres,56.319878,21.0
araba/alava,30.065304,32.0
girona,10.66938,0.0
zamora,724.56134,638.0
cordoba,5.0877504,40.0
barcelona,14.382126,21.0
lleida,39.65275,38.0
castellon,36.02726,27.0
valencia,102.11513,113.0
granada,44.972767,32.0
salamanca,68.591225,64.0
almeria,3.9878786,1.0
palencia,14.476359,16.0
sevilla,43.23331,17.0
