n,o,l
avila,12.647973,16.0
cadiz,3.5808146,0.0
ciudad_real,47.003727,79.0
soria,37.876095,0.0
huelva,1.5059515,0.0
bizkaia,0.7016078,0.0
jaen,5.314895,0.0
guadalajara,24.278433,9.0
badajoz,2.977215,1.0
leon,22.190628,27.0
malaga,12.967166,0.0
segovia,24.531107,49.0
albacete,33.846638,14.0
gipuzkoa,0.70073766,0.0
alicante,31.058382,28.0
burgos,34.062843,3.0
tarragona,0.7009662,0.0
cuenca,75.43442,59.0
valladolid,26.43488,9.0
toledo,0.70825994,0.0
caceres,5.6913085,1.0
araba/alava,28.031143,46.0
girona,0.7012091,0.0
zamora,3.3472311,0.0
cordoba,6.3931036,7.0
barcelona,2.204492,0.0
lleida,0.70082384,0.0
castellon,16.176506,3.0
valencia,43.757473,10.0
granada,6.874507,0.0
salamanca,53.55479,96.0
almeria,1.3533518,0.0
palencia,5.7191443,6.0
sevilla,4.5321255,0.0
