n,o,l
avila,31.420387,52.0
cadiz,27.315483,12.0
ciudad_real,0.5134711,154.0
soria,21.586805,47.0
huelva,12.450399,6.0
bizkaia,182.31044,201.0
jaen,27.468971,41.0
guadalajara,0.51353884,67.0
badajoz,18.488865,20.0
leon,44.488377,93.0
malaga,53.244328,43.0
segovia,76.306595,61.0
albacete,0.58365923,73.0
gipuzkoa,51.800858,27.0
alicante,75.76438,75.0
burgos,25.307827,44.0
tarragona,45.353172,43.0
cuenca,0.5137332,136.0
valladolid,72.05732,121.0
toledo,61.66868,38.0
caceres,43.511024,92.0
araba/alava,0.5134859,416.0
girona,71.00129,0.0
zamora,807.67285,7.0
cordoba,17.566101,42.0
barcelona,43.01435,1437.0
lleida,46.72937,44.0
castellon,27.031301,39.0
valencia,96.20075,140.0
granada,49.52692,13.0
salamanca,70.735466,58.0
almeria,13.77081,8.0
palencia,20.47876,5.0
sevilla,52.5922,21.0
