n,o,l
E06000013,11.064571,8.0
E06000054,14.744207,11.0
E08000027,19.854837,12.0
E10000024,36.730656,28.0
E06000042,17.942738,6.0
E09000023,32.347195,12.0
E08000010,27.463099,23.0
E09000020,16.778585,3.0
E06000051,13.404591,16.0
E10000014,85.701,71.0
E06000057,17.459547,15.0
E06000005,32.418083,37.0
E06000055,17.800446,10.0
E08000008,21.551271,18.0
E08000019,55.43025,35.0
E08000005,25.309048,16.0
E08000021,35.42408,17.0
E08000033,9.191574,8.0
E09000016,26.878332,19.0
E08000031,36.01333,11.0
E09000006,16.896217,10.0
E06000045,12.34078,5.0
E06000034,27.018925,13.0
E10000003,18.293808,20.0
E06000052,20.612696,6.0
E08000034,11.288124,7.0
E09000027,25.319956,22.0
E06000016,17.2312,4.0
E06000006,51.335777,29.0
E08000024,81.92919,34.0
E10000006,25.134539,15.0
E08000013,22.058167,10.0
E09000018,12.034931,10.0
E06000021,18.851137,14.0
E06000002,12.94908,11.0
E09000009,31.706032,21.0
E06000009,35.67525,18.0
E10000021,13.998676,11.0
E10000027,26.30779,7.0
E10000002,28.352304,12.0
E10000018,3.0862248,0.0
E09000001,7.4101515,7.0
E10000007,34.731934,21.0
E08000026,21.034306,21.0
E10000015,75.93372,50.0
E08000023,18.893862,9.0
E06000049,34.347824,19.0
E08000003,59.035713,37.0
E08000025,71.11953,50.0
E09000029,23.081062,5.0
E09000017,24.951382,11.0
E09000002,16.64176,15.0
E10000032,41.247704,29.0
E10000020,24.647903,7.0
E08000022,47.91571,40.0
E08000004,31.795057,22.0
E08000007,34.09113,14.0
E06000056,18.820084,18.0
E06000033,12.552216,8.0
E10000030,79.38456,54.0
E06000040,8.485245,6.0
E10000008,22.175581,31.0
E09000021,34.607002,21.0
E08000014,18.066198,9.0
E06000014,10.367739,5.0
E10000016,106.23031,117.0
E06000008,14.727644,11.0
E10000023,29.481146,27.0
E10000017,100.92608,63.0
E09000015,28.81436,13.0
E08000011,24.778215,8.0
E06000041,9.470988,11.0
E08000035,43.745438,38.0
E06000035,27.088648,13.0
E10000011,23.743032,12.0
E06000012,4.62065,2.0
E06000047,59.839058,29.0
E06000007,30.682436,7.0
E10000029,29.835367,27.0
E06000030,16.773668,10.0
E06000038,14.47481,25.0
E08000009,22.990541,12.0
E06000011,17.399944,16.0
E08000015,44.474586,27.0
E06000043,13.412111,11.0
E10000025,54.735443,38.0
E06000018,17.870707,11.0
E10000013,45.517437,38.0
E08000037,39.184006,20.0
E08000002,23.75411,16.0
E06000026,6.507185,7.0
E06000017,3.6444073,1.0
E06000027,2.3986804,2.0
E06000022,10.238488,2.0
E10000031,36.41713,22.0
E06000024,8.091875,1.0
E06000046,4.6438656,2.0
E09000026,31.576937,24.0
E06000050,30.47509,25.0
E06000059,14.604742,5.0
E06000031,6.3515716,2.0
E10000019,25.01972,24.0
E06000044,11.141133,7.0
E09000008,45.23926,26.0
E08000030,29.133627,13.0
E10000012,80.31797,46.0
E09000022,33.367073,16.0
E06000003,9.537516,8.0
E06000004,15.343865,10.0
E08000018,18.08508,26.0
E08000036,19.778769,18.0
E09000003,39.918518,17.0
E08000016,16.912287,21.0
E09000004,22.704782,6.0
E08000001,34.377686,25.0
E08000012,60.446854,35.0
E06000032,27.248796,23.0
E09000005,36.543922,26.0
E10000034,35.455196,22.0
E06000001,9.159786,6.0
E08000032,32.643272,22.0
E06000015,8.999865,9.0
E06000037,7.763719,7.0
E09000010,28.855116,22.0
E06000039,11.925972,9.0
E08000017,16.257313,8.0
E10000028,48.50215,35.0
E06000020,6.5881505,3.0
E06000036,23.754396,9.0
