n,o,l
hautes_pyrenees,1.2194295,2.0
paris,176.4973,188.0
loire,0.15169348,1.0
landes,0.0,0.0
charente_maritime,1.1021732,3.0
ardeche,0.7565574,0.0
doubs,6.162863,11.0
aube,7.612756,26.0
essonne,72.11356,178.0
meurthe_et_moselle,5.3434887,16.0
drome,2.9540002,0.0
dordogne,0.2629417,0.0
moselle,14.177612,0.0
tarn,0.27155438,6.0
lot,0.0,0.0
hauts_de_seine,115.8583,112.0
pas_de_calais,2.475123,31.0
marne,10.657443,14.0
puy_de_dome,4.2828016,10.0
mayenne,0.0,1.0
val_de_marne,52.252296,101.0
pyrenees_atlantiques,14.2133255,0.0
bas_rhin,3.0808806,6.0
herault,63.656662,23.0
bouches_du_rhone,137.3735,156.0
alpes_maritimes,4.832249,10.0
charente,0.0,2.0
eure,6.531583,37.0
correze,0.0,1.0
haute_savoie,20.117958,43.0
seine_et_marne,35.8407,133.0
rhone,3.787018,13.0
ain,3.7587383,10.0
haute_garonne,8.840231,12.0
jura,0.17222752,36.0
saone_et_loire,2.7122262,12.0
indre,7.6970067,8.0
pyrenees_orientales,0.0,2.0
ardennes,0.9551315,0.0
haut_rhin,24.36205,4.0
haute_saone,11.9475975,12.0
meuse,0.6977649,6.0
isere,3.3953886,12.0
territoire_de_belfort,1.0629935,5.0
cher,10.876215,14.0
loir_et_cher,1.26266,2.0
seine_maritime,12.374422,32.0
val_d'oise,88.43479,53.0
aisne,2.9781053,15.0
oise,31.072756,63.0
cote_d'or,1.2387962,2.0
vosges,12.4624195,11.0
nord,7.738083,19.0
gironde,15.3521185,12.0
yonne,0.41676983,0.0
lot_et_garonne,0.0,0.0
yvelines,40.257713,72.0
gers,1.2704744,4.0
savoie,0.20444755,2.0
loire_atlantique,1.0345938,0.0
alpes_de_haute_provence,0.12846048,2.0
haute_marne,0.13689898,2.0
eure_et_loir,15.731375,113.0
seine_saint_denis,96.493484,123.0
maine_et_loire,0.0,0.0
manche,1.8734152,8.0
calvados,6.1643677,2.0
somme,10.349296,15.0
nievre,0.85971475,4.0
vienne,0.12596606,2.0
cantal,0.28079507,0.0
tarn_et_garonne,0.708864,0.0
haute_loire,0.15549372,1.0
indre_et_loire,3.940901,2.0
vaucluse,6.724558,9.0
var,16.937403,31.0
orne,1.513854,3.0
haute_vienne,0.7551768,5.0
aude,5.126958,15.0
loiret,11.250006,15.0
gard,3.327367,35.0
