n,o,l
E06000013,3.2050452,16.0
E06000054,7.369488,5.0
E08000027,13.642676,10.0
E10000024,25.510395,45.0
E06000042,8.709886,16.0
E09000023,14.38658,15.0
E08000010,24.228678,30.0
E09000020,5.0258083,6.0
E06000051,7.8359776,15.0
E10000014,72.87238,64.0
E06000057,6.0975785,7.0
E06000005,28.684502,31.0
E06000055,10.682958,20.0
E08000008,10.940125,15.0
E08000019,46.925404,48.0
E08000005,16.926517,25.0
E08000021,22.253647,31.0
E08000033,2.5039053,8.0
E09000016,19.039389,14.0
E08000031,14.656637,17.0
E09000006,21.841557,20.0
E06000045,7.3047667,17.0
E06000034,3.2217493,4.0
E10000003,15.394355,20.0
E06000052,12.258352,10.0
E08000034,10.628617,24.0
E09000027,2.6541204,8.0
E06000016,16.068058,13.0
E06000006,5.5428715,10.0
E08000024,35.92934,30.0
E10000006,44.067364,52.0
E08000013,10.570577,9.0
E09000018,10.39892,21.0
E06000021,10.30302,14.0
E06000002,12.001908,20.0
E09000009,8.976462,8.0
E06000009,28.284218,26.0
E10000021,21.520142,33.0
E10000027,9.52238,17.0
E10000002,17.304413,21.0
E10000018,16.477665,22.0
E09000001,0.0,0.0
E10000007,24.88589,31.0
E08000026,13.9473295,13.0
E10000015,61.29935,61.0
E08000023,10.109734,27.0
E06000049,24.405449,28.0
E08000003,41.01514,49.0
E08000025,53.36743,82.0
E09000029,18.794033,25.0
E09000017,14.84826,17.0
E09000002,9.542457,13.0
E10000032,29.054321,34.0
E10000020,44.561726,56.0
E08000022,9.125199,11.0
E08000004,28.024364,18.0
E08000007,23.543009,20.0
E06000056,11.788303,16.0
E06000033,3.6006784,7.0
E10000030,71.64332,86.0
E06000040,0.3812537,10.0
E10000008,19.761875,25.0
E09000021,22.693409,30.0
E08000014,7.3166766,17.0
E06000014,2.5713365,7.0
E10000016,103.78459,67.0
E06000008,7.8624377,16.0
E10000023,22.242203,15.0
E10000017,80.16589,90.0
E09000015,18.187428,15.0
E08000011,11.05701,8.0
E06000041,6.430416,15.0
E08000035,36.968147,36.0
E06000035,14.350851,13.0
E10000011,13.008065,13.0
E06000012,0.0,6.0
E06000047,44.26423,39.0
E06000007,15.850207,29.0
E10000029,23.888266,21.0
E06000030,10.26173,17.0
E06000038,13.577478,36.0
E08000009,13.376678,24.0
E06000011,11.8453245,26.0
E08000015,31.501076,46.0
E06000043,6.202577,13.0
E10000025,48.27444,52.0
E06000018,9.023584,11.0
E10000013,41.748238,27.0
E08000037,25.566843,25.0
E08000002,17.492887,10.0
E06000026,3.1784024,16.0
E06000017,0.0,0.0
E06000027,0.0,3.0
E06000022,3.5423102,9.0
E10000031,26.206505,20.0
E06000024,0.0,5.0
E06000046,0.0,0.0
E09000026,17.992857,14.0
E06000050,19.276573,22.0
E06000059,3.1826088,8.0
E06000031,0.0,4.0
E10000019,19.4553,31.0
E06000044,3.902567,11.0
E09000008,27.588959,48.0
E08000030,16.093575,22.0
E10000012,62.10239,50.0
E09000022,21.828524,11.0
E06000003,5.004091,5.0
E06000004,6.318069,15.0
E08000018,18.782993,20.0
E08000036,11.956483,15.0
E09000003,22.146599,20.0
E08000016,18.534683,27.0
E09000004,9.344591,23.0
E08000001,27.569565,31.0
E08000012,41.865036,31.0
E06000032,17.699139,24.0
E09000005,25.51219,34.0
E10000034,28.12145,48.0
E06000001,0.67332697,8.0
E08000032,18.374527,17.0
E06000015,5.5167255,5.0
E06000037,4.2155485,12.0
E09000010,19.663445,35.0
E06000039,7.096147,17.0
E08000017,4.106593,4.0
E10000028,42.610577,51.0
E06000020,0.0,5.0
E06000036,3.2376118,10.0
