Epoch:   1, train_loss = 547.28613, val_loss = 373.12491, time = 0.01227
Epoch:   2, train_loss = 544.11914, val_loss = 370.77591, time = 0.01144
Epoch:   3, train_loss = 541.05969, val_loss = 368.51224, time = 0.01147
Epoch:   4, train_loss = 538.16235, val_loss = 366.22046, time = 0.01174
Epoch:   5, train_loss = 535.32849, val_loss = 363.86716, time = 0.01188
Epoch:   6, train_loss = 532.42926, val_loss = 361.58450, time = 0.01207
Epoch:   7, train_loss = 529.45190, val_loss = 359.31946, time = 0.01189
Epoch:   8, train_loss = 526.56641, val_loss = 357.10376, time = 0.01192
Epoch:   9, train_loss = 523.52991, val_loss = 354.90884, time = 0.01202
Epoch:  10, train_loss = 520.43335, val_loss = 352.70349, time = 0.01213
Epoch:  11, train_loss = 517.38507, val_loss = 350.43362, time = 0.01208
Epoch:  12, train_loss = 514.46039, val_loss = 348.15558, time = 0.01203
Epoch:  13, train_loss = 511.60611, val_loss = 345.85709, time = 0.01248
Epoch:  14, train_loss = 508.73959, val_loss = 343.51816, time = 0.01202
Epoch:  15, train_loss = 505.84253, val_loss = 341.20206, time = 0.01259
Epoch:  16, train_loss = 502.97101, val_loss = 338.96729, time = 0.01206
Epoch:  17, train_loss = 500.30032, val_loss = 336.90326, time = 0.01207
Epoch:  18, train_loss = 497.85504, val_loss = 335.02536, time = 0.01209
Epoch:  19, train_loss = 495.60754, val_loss = 333.33463, time = 0.01213
Epoch:  20, train_loss = 493.51718, val_loss = 331.85098, time = 0.01203
Epoch:  21, train_loss = 491.61322, val_loss = 330.57358, time = 0.01208
Epoch:  22, train_loss = 489.88721, val_loss = 329.47208, time = 0.01202
Epoch:  23, train_loss = 488.34909, val_loss = 328.52008, time = 0.01200
Epoch:  24, train_loss = 487.02011, val_loss = 327.67987, time = 0.01204
Epoch:  25, train_loss = 485.83429, val_loss = 326.92325, time = 0.01206
Epoch:  26, train_loss = 484.75430, val_loss = 326.23169, time = 0.01207
Epoch:  27, train_loss = 483.74475, val_loss = 325.59045, time = 0.01202
